The toroidal mode    1
 Perpend. k-vec  Curvature        Coriolis
  3.37759204E+00  -1.04853216E+00  -8.67717145E-01
  3.37759204E+00  -2.67388460E+00  -2.39628144E+00
  3.37759204E+00  -3.30560504E+00  -3.29123938E+00
  3.37759204E+00  -3.00676155E+00  -3.27795360E+00
  3.37759204E+00  -2.05223012E+00  -2.38083343E+00
  3.37759204E+00  -7.24157054E-01  -8.66585023E-01
  3.37759204E+00   7.24157054E-01   8.66585023E-01
  3.37759204E+00   2.05223012E+00   2.38083343E+00
  3.37759204E+00   3.00676155E+00   3.27795360E+00
  3.37759204E+00   3.30560504E+00   3.29123938E+00
  3.37759204E+00   2.67388460E+00   2.39628144E+00
  3.37759204E+00   1.04853216E+00   8.67717145E-01
The toroidal mode    2
 Perpend. k-vec  Curvature        Coriolis
  3.55324327E+00  -1.00338344E+00  -8.34929571E-01
  3.49775699E+00  -2.70935901E+00  -2.43234607E+00
  3.45730433E+00  -3.37282688E+00  -3.36200415E+00
  3.42837237E+00  -3.07959748E+00  -3.36077755E+00
  3.40614245E+00  -2.12175160E+00  -2.46459738E+00
  3.38725208E+00  -7.90260656E-01  -9.48639595E-01
  3.36939385E+00   6.58053452E-01   7.84530452E-01
  3.35059715E+00   1.98270864E+00   2.29706949E+00
  3.32857342E+00   2.93392563E+00   3.19512965E+00
  3.29999253E+00   3.23838319E+00   3.22047462E+00
  3.26003665E+00   2.63841019E+00   2.36021680E+00
  3.20500536E+00   1.09368089E+00   9.00504719E-01
  3.14153236E+00  -8.75513664E-01  -7.29110407E-01
  3.08602355E+00  -2.38327553E+00  -2.14011663E+00
  3.04554241E+00  -2.96970431E+00  -2.96063349E+00
  3.01658940E+00  -2.71291924E+00  -2.96102711E+00
  2.99434709E+00  -1.87147964E+00  -2.17425183E+00
  2.97545153E+00  -7.01948820E-01  -8.42958494E-01
  2.95759445E+00   5.69741616E-01   6.78849351E-01
  2.93880559E+00   1.73243667E+00   2.00672395E+00
  2.91679818E+00   2.56724739E+00   2.79537921E+00
  2.88824523E+00   2.83526063E+00   2.81910397E+00
  2.84833051E+00   2.31232670E+00   2.06798736E+00
  2.79334150E+00   9.65811110E-01   7.94685555E-01
  2.72987893E+00  -7.47643888E-01  -6.23291243E-01
  2.67434186E+00  -2.05719204E+00  -1.84788719E+00
  2.63382414E+00  -2.56658175E+00  -2.55926283E+00
  2.60484391E+00  -2.34624100E+00  -2.56127667E+00
  2.58258558E+00  -1.62120767E+00  -1.88390629E+00
  2.56368341E+00  -6.13636984E-01  -7.37277394E-01
  2.54582807E+00   4.81429780E-01   5.73168251E-01
  2.52704986E+00   1.48216471E+00   1.71637841E+00
  2.50506445E+00   2.20056916E+00   2.39562877E+00
  2.47654920E+00   2.43213806E+00   2.41773331E+00
  2.43669040E+00   1.98624321E+00   1.77575792E+00
  2.38175980E+00   8.37941334E-01   6.88866391E-01
  2.31831363E+00  -6.19774112E-01  -5.17472079E-01
  2.26274017E+00  -1.73110855E+00  -1.55565774E+00
  2.22217376E+00  -2.16345918E+00  -2.15789218E+00
  2.19315699E+00  -1.97956276E+00  -2.16152623E+00
  2.17087717E+00  -1.37093571E+00  -1.59356075E+00
  2.15196632E+00  -5.25325149E-01  -6.31596294E-01
  2.13411383E+00   3.93117944E-01   4.67487150E-01
  2.11535087E+00   1.23189274E+00   1.42603287E+00
  2.09339672E+00   1.83389092E+00   1.99587833E+00
  2.06493511E+00   2.02901550E+00   2.01636265E+00
  2.02515657E+00   1.66015972E+00   1.48352847E+00
  1.97031174E+00   7.10071558E-01   5.83047226E-01
  1.90689349E+00  -4.91904336E-01  -4.11652915E-01
  1.85127183E+00  -1.40502506E+00  -1.26342830E+00
  1.81063759E+00  -1.76033662E+00  -1.75652152E+00
  1.78156926E+00  -1.61288452E+00  -1.76177579E+00
  1.75925914E+00  -1.12066374E+00  -1.30321521E+00
  1.74033649E+00  -4.37013313E-01  -5.25915193E-01
  1.72248911E+00   3.04806108E-01   3.61806050E-01
  1.70374977E+00   9.81620776E-01   1.13568733E+00
  1.68184345E+00   1.46721268E+00   1.59612790E+00
  1.65346416E+00   1.62589293E+00   1.61499200E+00
  1.61381034E+00   1.33407624E+00   1.19129903E+00
  1.55910315E+00   5.82201782E-01   4.77228062E-01
  1.49573833E+00  -3.64034560E-01  -3.05833751E-01
  1.44005116E+00  -1.07894157E+00  -9.71198856E-01
  1.39931640E+00  -1.35721405E+00  -1.35515086E+00
  1.37017010E+00  -1.24620628E+00  -1.36202535E+00
  1.34781430E+00  -8.70391774E-01  -1.01286967E+00
  1.32887502E+00  -3.48701477E-01  -4.20234093E-01
  1.31103826E+00   2.16494273E-01   2.56124950E-01
  1.29234007E+00   7.31348809E-01   8.45341786E-01
  1.27051587E+00   1.10053444E+00   1.19637746E+00
  1.24227859E+00   1.22277037E+00   1.21362134E+00
  1.20284419E+00   1.00799275E+00   8.99069584E-01
  1.14839129E+00   4.54332006E-01   3.71408898E-01
  1.08514936E+00  -2.36164784E-01  -2.00014587E-01
  1.02937502E+00  -7.52858087E-01  -6.78969412E-01
  9.88478588E-01  -9.54091487E-01  -9.53780206E-01
  9.59202181E-01  -8.79528046E-01  -9.62274914E-01
  9.36770891E-01  -6.20119808E-01  -7.22524132E-01
  9.17808352E-01  -2.60389641E-01  -3.14552992E-01
  8.99999725E-01   1.28182437E-01   1.50443849E-01
  8.81389862E-01   4.81076843E-01   5.54996246E-01
  8.59737978E-01   7.33856203E-01   7.96627018E-01
  8.31801725E-01   8.19647801E-01   8.12250683E-01
  7.92849359E-01   6.81909260E-01   6.06840140E-01
  7.39004810E-01   3.26462230E-01   2.65589734E-01
  6.76158835E-01  -1.08295008E-01  -9.41954232E-02
  6.20325842E-01  -4.26774599E-01  -3.86739968E-01
  5.79153782E-01  -5.50968922E-01  -5.52409549E-01
  5.49633682E-01  -5.12849808E-01  -5.62524475E-01
  5.27068931E-01  -3.69847841E-01  -4.32178592E-01
  5.08095621E-01  -1.72077805E-01  -2.08871892E-01
  4.90411401E-01   3.98706009E-02   4.47627489E-02
  4.72100582E-01   2.30804877E-01   2.64650705E-01
  4.51014254E-01   3.67177964E-01   3.96876579E-01
  4.24096395E-01   4.16525235E-01   4.10880027E-01
  3.86925969E-01   3.55825772E-01   3.14610697E-01
  3.35826296E-01   1.98592454E-01   1.59770570E-01
  2.75967468E-01   1.95747678E-02   1.16237408E-02
  2.22083357E-01  -1.00691111E-01  -9.45105246E-02
  1.81862382E-01  -1.47846356E-01  -1.51038893E-01
  1.53137793E-01  -1.46171569E-01  -1.62774036E-01
  1.31868316E-01  -1.19575875E-01  -1.41833051E-01
  1.15220607E-01  -8.37659693E-02  -1.03190792E-01
  1.01650473E-01  -4.84412350E-02  -6.09183515E-02
  9.07494882E-02  -1.94670889E-02  -2.56948352E-02
  8.36896800E-02   4.99725971E-04  -2.87386045E-03
  8.45401330E-02   1.34026698E-02   9.50937008E-03
  1.00692319E-01   2.97422841E-02   2.23812529E-02
  1.36953029E-01   7.07226782E-02   5.39514064E-02
  1.85609689E-01   1.47444544E-01   1.17442905E-01
  2.30572166E-01   2.25392377E-01   1.97718919E-01
  2.64677895E-01   2.55276209E-01   2.50331764E-01
  2.90053138E-01   2.20506669E-01   2.36976403E-01
  3.10326420E-01   1.30696091E-01   1.48512489E-01
  3.28201243E-01   4.54586653E-03   2.49030874E-03
  3.45670269E-01  -1.36753071E-01  -1.66599452E-01
  3.64578687E-01  -2.69739055E-01  -3.16040376E-01
  3.87194663E-01  -3.66178512E-01  -4.02624300E-01
  4.16847641E-01  -3.89719896E-01  -3.91861287E-01
  4.58139521E-01  -2.96341204E-01  -2.69848191E-01
  5.13866327E-01  -5.71470978E-02  -5.18677576E-02
  5.76254726E-01   2.75314320E-01   2.23262069E-01
  6.29548782E-01   5.51475865E-01   4.89948363E-01
  6.68102155E-01   6.58398774E-01   6.51702421E-01
  6.95798894E-01   5.87184907E-01   6.36726842E-01
  7.17315384E-01   3.80968057E-01   4.38858030E-01
  7.35854580E-01   9.28577024E-02   1.08171409E-01
  7.53636975E-01  -2.25064907E-01  -2.72280552E-01
  7.72609480E-01  -5.20011021E-01  -6.06385916E-01
  7.95085587E-01  -7.32856751E-01  -8.02374739E-01
  8.24440729E-01  -7.92842461E-01  -7.93231943E-01
  8.65430723E-01  -6.22424692E-01  -5.62077635E-01
  9.21241940E-01  -1.85016874E-01  -1.57686922E-01
  9.84384936E-01   4.03184096E-01   3.29081233E-01
  1.03866523E+00   8.77559353E-01   7.82177807E-01
  1.07795743E+00   1.06152134E+00   1.05307308E+00
  1.10610443E+00   9.53863146E-01   1.03647728E+00
  1.12787671E+00   6.31240023E-01   7.29203570E-01
  1.14654852E+00   1.81169538E-01   2.13852510E-01
  1.16437755E+00  -3.13376743E-01  -3.77961653E-01
  1.18332533E+00  -7.70282987E-01  -8.96731457E-01
  1.20570648E+00  -1.09953499E+00  -1.20212518E+00
  1.23489624E+00  -1.19596503E+00  -1.19460260E+00
  1.27568589E+00  -9.48508180E-01  -8.54307078E-01
  1.33140545E+00  -3.12886650E-01  -2.63506086E-01
  1.39473422E+00   5.31053872E-01   4.34900397E-01
  1.44936016E+00   1.20364284E+00   1.07440725E+00
  1.48894245E+00   1.46464391E+00   1.45444373E+00
  1.51727505E+00   1.32054138E+00   1.43622772E+00
  1.53915432E+00   8.81511989E-01   1.01954911E+00
  1.55788019E+00   2.69481374E-01   3.19533610E-01
  1.57572432E+00  -4.01688578E-01  -4.83642753E-01
