shat:   0.78  q:   1.40  eps:   0.19  ikxspace:    5
 imod, kxrh(ix), ix, ixplus(imod,ix), ixminus(imod,ix)
     1 -3.405052     1     1     1
     1 -3.350132     2     2     2
     1 -3.295212     3     3     3
     1 -3.240292     4     4     4
     1 -3.185371     5     5     5
     1 -3.130451     6     6     6
     1 -3.075531     7     7     7
     1 -3.020611     8     8     8
     1 -2.965691     9     9     9
     1 -2.910770    10    10    10
     1 -2.855850    11    11    11
     1 -2.800930    12    12    12
     1 -2.746010    13    13    13
     1 -2.691090    14    14    14
     1 -2.636169    15    15    15
     1 -2.581249    16    16    16
     1 -2.526329    17    17    17
     1 -2.471409    18    18    18
     1 -2.416489    19    19    19
     1 -2.361568    20    20    20
     1 -2.306648    21    21    21
     1 -2.251728    22    22    22
     1 -2.196808    23    23    23
     1 -2.141888    24    24    24
     1 -2.086967    25    25    25
     1 -2.032047    26    26    26
     1 -1.977127    27    27    27
     1 -1.922207    28    28    28
     1 -1.867287    29    29    29
     1 -1.812366    30    30    30
     1 -1.757446    31    31    31
     1 -1.702526    32    32    32
     1 -1.647606    33    33    33
     1 -1.592686    34    34    34
     1 -1.537765    35    35    35
     1 -1.482845    36    36    36
     1 -1.427925    37    37    37
     1 -1.373005    38    38    38
     1 -1.318085    39    39    39
     1 -1.263165    40    40    40
     1 -1.208244    41    41    41
     1 -1.153324    42    42    42
     1 -1.098404    43    43    43
     1 -1.043484    44    44    44
     1 -0.988564    45    45    45
     1 -0.933643    46    46    46
     1 -0.878723    47    47    47
     1 -0.823803    48    48    48
     1 -0.768883    49    49    49
     1 -0.713963    50    50    50
     1 -0.659042    51    51    51
     1 -0.604122    52    52    52
     1 -0.549202    53    53    53
     1 -0.494282    54    54    54
     1 -0.439362    55    55    55
     1 -0.384441    56    56    56
     1 -0.329521    57    57    57
     1 -0.274601    58    58    58
     1 -0.219681    59    59    59
     1 -0.164761    60    60    60
     1 -0.109840    61    61    61
     1 -0.054920    62    62    62
