The toroidal mode    1
 Perpend. k-vec  Curvature        Coriolis
  3.40505214E+00  -8.00202280E-01  -6.58793911E-01
  3.40505214E+00  -2.18645348E+00  -1.89012977E+00
  3.40505214E+00  -3.05733541E+00  -2.84986678E+00
  3.40505214E+00  -3.34114033E+00  -3.36883927E+00
  3.40505214E+00  -3.11113595E+00  -3.35832478E+00
  3.40505214E+00  -2.48852323E+00  -2.83069434E+00
  3.40505214E+00  -1.59669209E+00  -1.88089821E+00
  3.40505214E+00  -5.49170440E-01  -6.58294441E-01
  3.40505214E+00   5.49170440E-01   6.58294441E-01
  3.40505214E+00   1.59669209E+00   1.88089821E+00
  3.40505214E+00   2.48852323E+00   2.83069434E+00
  3.40505214E+00   3.11113595E+00   3.35832478E+00
  3.40505214E+00   3.34114033E+00   3.36883927E+00
  3.40505214E+00   3.05733541E+00   2.84986678E+00
  3.40505214E+00   2.18645348E+00   1.89012977E+00
  3.40505214E+00   8.00202280E-01   6.58793911E-01
The toroidal mode    2
 Perpend. k-vec  Curvature        Coriolis
  3.52704351E+00  -7.60733616E-01  -6.29362814E-01
  3.49758665E+00  -2.19441819E+00  -1.89995693E+00
  3.47366842E+00  -3.09195396E+00  -2.88487933E+00
  3.45521169E+00  -3.38707718E+00  -3.41767654E+00
  3.44081771E+00  -3.15972405E+00  -3.41308398E+00
  3.42910307E+00  -2.53592674E+00  -2.88675602E+00
  3.41902634E+00  -1.64200811E+00  -1.93630163E+00
  3.40982972E+00  -5.93094559E-01  -7.12907069E-01
  3.40091689E+00   5.05246321E-01   6.03681812E-01
  3.39174306E+00   1.55137607E+00   1.82549479E+00
  3.38171455E+00   2.44111973E+00   2.77463267E+00
  3.37007874E+00   3.06254786E+00   3.30356558E+00
  3.35580061E+00   3.29520349E+00   3.32000200E+00
  3.33749848E+00   3.02271687E+00   2.81485422E+00
  3.31375352E+00   2.17848876E+00   1.88030260E+00
  3.28442413E+00   8.39670943E-01   6.88225008E-01
  3.25249804E+00  -6.96201174E-01  -5.76234273E-01
  3.22303689E+00  -2.01809130E+00  -1.74752712E+00
  3.19911214E+00  -2.84539466E+00  -2.65505136E+00
  3.18064934E+00  -3.11763037E+00  -3.14599596E+00
  3.16625073E+00  -2.90882599E+00  -3.14225134E+00
  3.15453292E+00  -2.33523938E+00  -2.65847422E+00
  3.14445428E+00  -1.51324262E+00  -1.78461630E+00
  3.13525683E+00  -5.48806620E-01  -6.59818808E-01
  3.12634415E+00   4.60958382E-01   5.50593551E-01
  3.11717150E+00   1.42261057E+00   1.67380945E+00
  3.10714532E+00   2.24043237E+00   2.54635087E+00
  3.09551326E+00   2.81164980E+00   3.03273293E+00
  3.08124068E+00   3.02575668E+00   3.04832141E+00
  3.06294609E+00   2.77615756E+00   2.58502625E+00
  3.03920988E+00   2.00216187E+00   1.72787278E+00
  3.00988756E+00   7.75138501E-01   6.35096467E-01
  2.97796279E+00  -6.31668733E-01  -5.23105732E-01
  2.94849668E+00  -1.84176441E+00  -1.59509730E+00
  2.92456425E+00  -2.59883535E+00  -2.42522340E+00
  2.90609428E+00  -2.84818357E+00  -2.87431537E+00
  2.89169020E+00  -2.65792793E+00  -2.87141870E+00
  2.87996866E+00  -2.13455202E+00  -2.43019241E+00
  2.86988777E+00  -1.38447713E+00  -1.63293096E+00
  2.86068934E+00  -5.04518682E-01  -6.06730546E-01
  2.85177686E+00   4.16670444E-01   4.97505290E-01
  2.84260561E+00   1.29384508E+00   1.52212411E+00
  2.83258223E+00   2.03974501E+00   2.31806907E+00
  2.82095469E+00   2.56075174E+00   2.76190029E+00
  2.80668879E+00   2.75630988E+00   2.77664082E+00
  2.78840326E+00   2.52959825E+00   2.35519829E+00
  2.76467763E+00   1.82583498E+00   1.57544296E+00
  2.73536392E+00   7.10606059E-01   5.81967926E-01
  2.70344091E+00  -5.67136291E-01  -4.69977190E-01
  2.67396895E+00  -1.66543751E+00  -1.44266748E+00
  2.65002736E+00  -2.35227604E+00  -2.19539543E+00
  2.63154881E+00  -2.57873677E+00  -2.60263478E+00
  2.61713816E+00  -2.40702987E+00  -2.60058605E+00
  2.60541213E+00  -1.93386467E+00  -2.20191061E+00
  2.59532854E+00  -1.25571164E+00  -1.48124562E+00
  2.58612896E+00  -4.60230743E-01  -5.53642285E-01
  2.57721675E+00   3.72382505E-01   4.44417028E-01
  2.56804724E+00   1.16507959E+00   1.37043877E+00
  2.55802728E+00   1.83905766E+00   2.08978726E+00
  2.54640527E+00   2.30985368E+00   2.49106765E+00
  2.53214754E+00   2.48686308E+00   2.50496024E+00
  2.51387314E+00   2.28303894E+00   2.12537032E+00
  2.49016054E+00   1.64950808E+00   1.42301314E+00
  2.46085754E+00   6.46073617E-01   5.28839384E-01
  2.42893690E+00  -5.02603849E-01  -4.16848649E-01
