shat:   0.78  q:   1.40  eps:   0.19  ikxspace:    5
 imod, kxrh(ix), ix, ixplus(imod,ix), ixminus(imod,ix)
     1 -3.377592     1     1     1
     1 -3.295212     2     2     2
     1 -3.212831     3     3     3
     1 -3.130451     4     4     4
     1 -3.048071     5     5     5
     1 -2.965691     6     6     6
     1 -2.883310     7     7     7
     1 -2.800930     8     8     8
     1 -2.718550     9     9     9
     1 -2.636169    10    10    10
     1 -2.553789    11    11    11
     1 -2.471409    12    12    12
     1 -2.389029    13    13    13
     1 -2.306648    14    14    14
     1 -2.224268    15    15    15
     1 -2.141888    16    16    16
     1 -2.059507    17    17    17
     1 -1.977127    18    18    18
     1 -1.894747    19    19    19
     1 -1.812366    20    20    20
     1 -1.729986    21    21    21
     1 -1.647606    22    22    22
     1 -1.565226    23    23    23
     1 -1.482845    24    24    24
     1 -1.400465    25    25    25
     1 -1.318085    26    26    26
     1 -1.235704    27    27    27
     1 -1.153324    28    28    28
     1 -1.070944    29    29    29
     1 -0.988564    30    30    30
     1 -0.906183    31    31    31
     1 -0.823803    32    32    32
     1 -0.741423    33    33    33
     1 -0.659042    34    34    34
     1 -0.576662    35    35    35
     1 -0.494282    36    36    36
     1 -0.411901    37    37    37
     1 -0.329521    38    38    38
     1 -0.247141    39    39    39
     1 -0.164761    40    40    40
     1 -0.082380    41    41    41
     1 -0.000000    42    42    42
     1  0.082380    43    43    43
     1  0.164761    44    44    44
     1  0.247141    45    45    45
     1  0.329521    46    46    46
     1  0.411901    47    47    47
     1  0.494282    48    48    48
     1  0.576662    49    49    49
     1  0.659042    50    50    50
     1  0.741423    51    51    51
     1  0.823803    52    52    52
     1  0.906183    53    53    53
     1  0.988564    54    54    54
     1  1.070944    55    55    55
     1  1.153324    56    56    56
     1  1.235704    57    57    57
     1  1.318085    58    58    58
     1  1.400465    59    59    59
     1  1.482845    60    60    60
     1  1.565226    61    61    61
     1  1.647606    62    62    62
     1  1.729986    63    63    63
     1  1.812366    64    64    64
     1  1.894747    65    65    65
     1  1.977127    66    66    66
     1  2.059507    67    67    67
     1  2.141888    68    68    68
     1  2.224268    69    69    69
     1  2.306648    70    70    70
     1  2.389029    71    71    71
     1  2.471409    72    72    72
     1  2.553789    73    73    73
     1  2.636169    74    74    74
     1  2.718550    75    75    75
     1  2.800930    76    76    76
     1  2.883310    77    77    77
     1  2.965691    78    78    78
     1  3.048071    79    79    79
     1  3.130451    80    80    80
     1  3.212831    81    81    81
     1  3.295212    82    82    82
     1  3.377592    83    83    83
     2 -3.377592     1     6     0
     2 -3.295212     2     7     0
     2 -3.212831     3     8     0
     2 -3.130451     4     9     0
     2 -3.048071     5    10     0
     2 -2.965691     6    11     1
     2 -2.883310     7    12     2
     2 -2.800930     8    13     3
     2 -2.718550     9    14     4
     2 -2.636169    10    15     5
     2 -2.553789    11    16     6
     2 -2.471409    12    17     7
     2 -2.389029    13    18     8
     2 -2.306648    14    19     9
     2 -2.224268    15    20    10
     2 -2.141888    16    21    11
     2 -2.059507    17    22    12
     2 -1.977127    18    23    13
     2 -1.894747    19    24    14
     2 -1.812366    20    25    15
     2 -1.729986    21    26    16
     2 -1.647606    22    27    17
     2 -1.565226    23    28    18
     2 -1.482845    24    29    19
     2 -1.400465    25    30    20
     2 -1.318085    26    31    21
     2 -1.235704    27    32    22
     2 -1.153324    28    33    23
     2 -1.070944    29    34    24
     2 -0.988564    30    35    25
     2 -0.906183    31    36    26
     2 -0.823803    32    37    27
     2 -0.741423    33    38    28
     2 -0.659042    34    39    29
     2 -0.576662    35    40    30
     2 -0.494282    36    41    31
     2 -0.411901    37    42    32
     2 -0.329521    38    43    33
     2 -0.247141    39    44    34
     2 -0.164761    40    45    35
     2 -0.082380    41    46    36
     2 -0.000000    42    47    37
     2  0.082380    43    48    38
     2  0.164761    44    49    39
     2  0.247141    45    50    40
     2  0.329521    46    51    41
     2  0.411901    47    52    42
     2  0.494282    48    53    43
     2  0.576662    49    54    44
     2  0.659042    50    55    45
     2  0.741423    51    56    46
     2  0.823803    52    57    47
     2  0.906183    53    58    48
     2  0.988564    54    59    49
