shat:   0.78  q:   1.40  eps:   0.19  ikxspace:    5
 imod, kxrh(ix), ix, ixplus(imod,ix), ixminus(imod,ix)
     1 -2.553789     1     1     1
     1 -2.471409     2     2     2
     1 -2.389029     3     3     3
     1 -2.306648     4     4     4
     1 -2.224268     5     5     5
     1 -2.141888     6     6     6
     1 -2.059507     7     7     7
     1 -1.977127     8     8     8
     1 -1.894747     9     9     9
     1 -1.812366    10    10    10
     1 -1.729986    11    11    11
     1 -1.647606    12    12    12
     1 -1.565226    13    13    13
     1 -1.482845    14    14    14
     1 -1.400465    15    15    15
     1 -1.318085    16    16    16
     1 -1.235704    17    17    17
     1 -1.153324    18    18    18
     1 -1.070944    19    19    19
     1 -0.988564    20    20    20
     1 -0.906183    21    21    21
     1 -0.823803    22    22    22
     1 -0.741423    23    23    23
     1 -0.659042    24    24    24
     1 -0.576662    25    25    25
     1 -0.494282    26    26    26
     1 -0.411901    27    27    27
     1 -0.329521    28    28    28
     1 -0.247141    29    29    29
     1 -0.164761    30    30    30
     1 -0.082380    31    31    31
     1 -0.000000    32    32    32
     1  0.082380    33    33    33
     1  0.164761    34    34    34
     1  0.247141    35    35    35
     1  0.329521    36    36    36
     1  0.411901    37    37    37
     1  0.494282    38    38    38
     1  0.576662    39    39    39
     1  0.659042    40    40    40
     1  0.741423    41    41    41
     1  0.823803    42    42    42
     1  0.906183    43    43    43
     1  0.988564    44    44    44
     1  1.070944    45    45    45
     1  1.153324    46    46    46
     1  1.235704    47    47    47
     1  1.318085    48    48    48
     1  1.400465    49    49    49
     1  1.482845    50    50    50
     1  1.565226    51    51    51
     1  1.647606    52    52    52
     1  1.729986    53    53    53
     1  1.812366    54    54    54
     1  1.894747    55    55    55
     1  1.977127    56    56    56
     1  2.059507    57    57    57
     1  2.141888    58    58    58
     1  2.224268    59    59    59
     1  2.306648    60    60    60
     1  2.389029    61    61    61
     1  2.471409    62    62    62
     1  2.553789    63    63    63
     2 -2.553789     1     6     0
     2 -2.471409     2     7     0
     2 -2.389029     3     8     0
     2 -2.306648     4     9     0
     2 -2.224268     5    10     0
     2 -2.141888     6    11     1
     2 -2.059507     7    12     2
     2 -1.977127     8    13     3
     2 -1.894747     9    14     4
     2 -1.812366    10    15     5
     2 -1.729986    11    16     6
     2 -1.647606    12    17     7
     2 -1.565226    13    18     8
     2 -1.482845    14    19     9
     2 -1.400465    15    20    10
     2 -1.318085    16    21    11
     2 -1.235704    17    22    12
     2 -1.153324    18    23    13
     2 -1.070944    19    24    14
     2 -0.988564    20    25    15
     2 -0.906183    21    26    16
     2 -0.823803    22    27    17
     2 -0.741423    23    28    18
     2 -0.659042    24    29    19
     2 -0.576662    25    30    20
     2 -0.494282    26    31    21
     2 -0.411901    27    32    22
     2 -0.329521    28    33    23
     2 -0.247141    29    34    24
     2 -0.164761    30    35    25
     2 -0.082380    31    36    26
     2 -0.000000    32    37    27
     2  0.082380    33    38    28
     2  0.164761    34    39    29
     2  0.247141    35    40    30
     2  0.329521    36    41    31
     2  0.411901    37    42    32
     2  0.494282    38    43    33
     2  0.576662    39    44    34
     2  0.659042    40    45    35
     2  0.741423    41    46    36
     2  0.823803    42    47    37
     2  0.906183    43    48    38
     2  0.988564    44    49    39
     2  1.070944    45    50    40
     2  1.153324    46    51    41
     2  1.235704    47    52    42
     2  1.318085    48    53    43
     2  1.400465    49    54    44
     2  1.482845    50    55    45
     2  1.565226    51    56    46
     2  1.647606    52    57    47
     2  1.729986    53    58    48
     2  1.812366    54    59    49
     2  1.894747    55    60    50
     2  1.977127    56    61    51
     2  2.059507    57    62    52
     2  2.141888    58    63    53
     2  2.224268    59     0    54
     2  2.306648    60     0    55
     2  2.389029    61     0    56
     2  2.471409    62     0    57
     2  2.553789    63     0    58
     3 -2.553789     1    11     0
     3 -2.471409     2    12     0
     3 -2.389029     3    13     0
     3 -2.306648     4    14     0
     3 -2.224268     5    15     0
     3 -2.141888     6    16     0
     3 -2.059507     7    17     0
     3 -1.977127     8    18     0
     3 -1.894747     9    19     0
     3 -1.812366    10    20     0
     3 -1.729986    11    21     1
     3 -1.647606    12    22     2
     3 -1.565226    13    23     3
     3 -1.482845    14    24     4
     3 -1.400465    15    25     5
     3 -1.318085    16    26     6
     3 -1.235704    17    27     7
     3 -1.153324    18    28     8
     3 -1.070944    19    29     9
     3 -0.988564    20    30    10
     3 -0.906183    21    31    11
     3 -0.823803    22    32    12
     3 -0.741423    23    33    13
     3 -0.659042    24    34    14
     3 -0.576662    25    35    15
     3 -0.494282    26    36    16
     3 -0.411901    27    37    17
     3 -0.329521    28    38    18
     3 -0.247141    29    39    19
     3 -0.164761    30    40    20
     3 -0.082380    31    41    21
     3 -0.000000    32    42    22
     3  0.082380    33    43    23
     3  0.164761    34    44    24
     3  0.247141    35    45    25
     3  0.329521    36    46    26
     3  0.411901    37    47    27
     3  0.494282    38    48    28
     3  0.576662    39    49    29
     3  0.659042    40    50    30
     3  0.741423    41    51    31
     3  0.823803    42    52    32
     3  0.906183    43    53    33
     3  0.988564    44    54    34
     3  1.070944    45    55    35
     3  1.153324    46    56    36
     3  1.235704    47    57    37
     3  1.318085    48    58    38
     3  1.400465    49    59    39
     3  1.482845    50    60    40
     3  1.565226    51    61    41
     3  1.647606    52    62    42
     3  1.729986    53    63    43
     3  1.812366    54     0    44
     3  1.894747    55     0    45
     3  1.977127    56     0    46
     3  2.059507    57     0    47
     3  2.141888    58     0    48
     3  2.224268    59     0    49
     3  2.306648    60     0    50
     3  2.389029    61     0    51
     3  2.471409    62     0    52
     3  2.553789    63     0    53
     4 -2.553789     1    16     0
     4 -2.471409     2    17     0
     4 -2.389029     3    18     0
     4 -2.306648     4    19     0
     4 -2.224268     5    20     0
     4 -2.141888     6    21     0
     4 -2.059507     7    22     0
     4 -1.977127     8    23     0
     4 -1.894747     9    24     0
     4 -1.812366    10    25     0
     4 -1.729986    11    26     0
     4 -1.647606    12    27     0
     4 -1.565226    13    28     0
     4 -1.482845    14    29     0
     4 -1.400465    15    30     0
     4 -1.318085    16    31     1
     4 -1.235704    17    32     2
     4 -1.153324    18    33     3
     4 -1.070944    19    34     4
     4 -0.988564    20    35     5
     4 -0.906183    21    36     6
     4 -0.823803    22    37     7
     4 -0.741423    23    38     8
     4 -0.659042    24    39     9
     4 -0.576662    25    40    10
     4 -0.494282    26    41    11
     4 -0.411901    27    42    12
     4 -0.329521    28    43    13
     4 -0.247141    29    44    14
     4 -0.164761    30    45    15
     4 -0.082380    31    46    16
     4 -0.000000    32    47    17
     4  0.082380    33    48    18
     4  0.164761    34    49    19
     4  0.247141    35    50    20
     4  0.329521    36    51    21
     4  0.411901    37    52    22
     4  0.494282    38    53    23
     4  0.576662    39    54    24
     4  0.659042    40    55    25
     4  0.741423    41    56    26
     4  0.823803    42    57    27
     4  0.906183    43    58    28
     4  0.988564    44    59    29
     4  1.070944    45    60    30
     4  1.153324    46    61    31
     4  1.235704    47    62    32
     4  1.318085    48    63    33
     4  1.400465    49     0    34
     4  1.482845    50     0    35
     4  1.565226    51     0    36
     4  1.647606    52     0    37
     4  1.729986    53     0    38
     4  1.812366    54     0    39
     4  1.894747    55     0    40
     4  1.977127    56     0    41
     4  2.059507    57     0    42
     4  2.141888    58     0    43
     4  2.224268    59     0    44
     4  2.306648    60     0    45
     4  2.389029    61     0    46
     4  2.471409    62     0    47
     4  2.553789    63     0    48
     5 -2.553789     1    21     0
     5 -2.471409     2    22     0
     5 -2.389029     3    23     0
     5 -2.306648     4    24     0
     5 -2.224268     5    25     0
     5 -2.141888     6    26     0
     5 -2.059507     7    27     0
     5 -1.977127     8    28     0
     5 -1.894747     9    29     0
     5 -1.812366    10    30     0
     5 -1.729986    11    31     0
     5 -1.647606    12    32     0
     5 -1.565226    13    33     0
     5 -1.482845    14    34     0
     5 -1.400465    15    35     0
     5 -1.318085    16    36     0
     5 -1.235704    17    37     0
     5 -1.153324    18    38     0
     5 -1.070944    19    39     0
     5 -0.988564    20    40     0
     5 -0.906183    21    41     1
     5 -0.823803    22    42     2
     5 -0.741423    23    43     3
     5 -0.659042    24    44     4
     5 -0.576662    25    45     5
     5 -0.494282    26    46     6
     5 -0.411901    27    47     7
     5 -0.329521    28    48     8
     5 -0.247141    29    49     9
     5 -0.164761    30    50    10
     5 -0.082380    31    51    11
     5 -0.000000    32    52    12
     5  0.082380    33    53    13
     5  0.164761    34    54    14
