The toroidal mode    1
 Perpend. k-vec  Curvature        Coriolis
  2.55378910E+00  -6.00151710E-01  -4.94095433E-01
  2.55378910E+00  -1.63984011E+00  -1.41759732E+00
  2.55378910E+00  -2.29300156E+00  -2.13740008E+00
  2.55378910E+00  -2.50585525E+00  -2.52662945E+00
  2.55378910E+00  -2.33335197E+00  -2.51874359E+00
  2.55378910E+00  -1.86639243E+00  -2.12302076E+00
  2.55378910E+00  -1.19751907E+00  -1.41067366E+00
  2.55378910E+00  -4.11877830E-01  -4.93720831E-01
  2.55378910E+00   4.11877830E-01   4.93720831E-01
  2.55378910E+00   1.19751907E+00   1.41067366E+00
  2.55378910E+00   1.86639243E+00   2.12302076E+00
  2.55378910E+00   2.33335197E+00   2.51874359E+00
  2.55378910E+00   2.50585525E+00   2.52662945E+00
  2.55378910E+00   2.29300156E+00   2.13740008E+00
  2.55378910E+00   1.63984011E+00   1.41759732E+00
  2.55378910E+00   6.00151710E-01   4.94095433E-01
The toroidal mode    2
 Perpend. k-vec  Curvature        Coriolis
  2.73769617E+00  -5.40948715E-01  -4.49948788E-01
  2.69344613E+00  -1.65178718E+00  -1.43233808E+00
  2.65746420E+00  -2.34492938E+00  -2.18991891E+00
  2.62968022E+00  -2.57476052E+00  -2.59988536E+00
  2.60801326E+00  -2.40623411E+00  -2.60088239E+00
  2.59038933E+00  -1.93749768E+00  -2.20711327E+00
  2.57524315E+00  -1.26549310E+00  -1.49377879E+00
  2.56143520E+00  -4.77764008E-01  -5.75639773E-01
  2.54806973E+00   3.45991651E-01   4.11801888E-01
  2.53433022E+00   1.12954503E+00   1.32756852E+00
  2.51932889E+00   1.79528717E+00   2.03892825E+00
  2.50194181E+00   2.26046983E+00   2.43660478E+00
  2.48062325E+00   2.43694998E+00   2.45337354E+00
  2.45330496E+00   2.24107374E+00   2.08488125E+00
  2.41784684E+00   1.62789304E+00   1.40285657E+00
  2.37398653E+00   6.59354705E-01   5.38242079E-01
  2.32613225E+00  -4.44150052E-01  -3.70255976E-01
  2.28186187E+00  -1.38729684E+00  -1.20369335E+00
  2.24584368E+00  -1.97509042E+00  -1.84517696E+00
  2.21802443E+00  -2.17059031E+00  -2.19236448E+00
  2.19633005E+00  -2.02988701E+00  -2.19463343E+00
  2.17868735E+00  -1.63646665E+00  -1.86469057E+00
  2.16353010E+00  -1.07234487E+00  -1.26625079E+00
  2.14971785E+00  -4.11332100E-01  -4.96007381E-01
  2.13635450E+00   2.79559743E-01   3.32169496E-01
  2.12262390E+00   9.36396794E-01   1.10004051E+00
  2.10763945E+00   1.49425613E+00   1.69650554E+00
  2.09027941E+00   1.88412274E+00   2.03035581E+00
  2.06900099E+00   2.03277978E+00   2.04585266E+00
  2.04173826E+00   1.87123478E+00   1.74013930E+00
  2.00634731E+00   1.36340270E+00   1.17421184E+00
  1.96254651E+00   5.62556042E-01   4.58549267E-01
  1.91471351E+00  -3.47351389E-01  -2.90563164E-01
  1.87041727E+00  -1.12280650E+00  -9.75048618E-01
  1.83434928E+00  -1.60525146E+00  -1.50043502E+00
  1.80648065E+00  -1.76642011E+00  -1.78484360E+00
  1.78474756E+00  -1.65353992E+00  -1.78838446E+00
  1.76707835E+00  -1.33543561E+00  -1.52226786E+00
  1.75190562E+00  -8.79196631E-01  -1.03872278E+00
  1.73808774E+00  -3.44900192E-01  -4.16374989E-01
  1.72472821E+00   2.13127835E-01   2.52537104E-01
  1.71101151E+00   7.43248557E-01   8.72512503E-01
  1.69605298E+00   1.19322510E+00   1.35408284E+00
  1.67873429E+00   1.50777564E+00   1.62410685E+00
  1.65751746E+00   1.62860958E+00   1.63833178E+00
  1.63034065E+00   1.50139581E+00   1.39539735E+00
  1.59505527E+00   1.09891236E+00   9.45567112E-01
  1.55135142E+00   4.65757379E-01   3.78856455E-01
  1.50355912E+00  -2.50552726E-01  -2.10870352E-01
  1.45923048E+00  -8.58316161E-01  -7.46403889E-01
  1.42309044E+00  -1.23541250E+00  -1.15569307E+00
  1.39514799E+00  -1.36224991E+00  -1.37732272E+00
  1.37335636E+00  -1.27719283E+00  -1.38213549E+00
  1.35564703E+00  -1.03440457E+00  -1.17984516E+00
  1.34045132E+00  -6.86048394E-01  -8.11194766E-01
  1.32662609E+00  -2.78468284E-01  -3.36742597E-01
  1.31327448E+00   1.46695927E-01   1.72904712E-01
  1.29958232E+00   5.50100321E-01   6.44984493E-01
  1.28466845E+00   8.92194059E-01   1.01166014E+00
  1.26742072E+00   1.13142855E+00   1.21785788E+00
  1.24631008E+00   1.22443938E+00   1.23081090E+00
  1.21928332E+00   1.13155685E+00   1.05065540E+00
  1.18418697E+00   8.34422016E-01   7.16922382E-01
  1.14066616E+00   3.68958716E-01   2.99163643E-01
  1.09296746E+00  -1.53754063E-01  -1.31177541E-01
  1.04860481E+00  -5.93825821E-01  -5.17759159E-01
  1.01235425E+00  -8.65573538E-01  -8.10951119E-01
  9.84291191E-01  -9.58079710E-01  -9.69801844E-01
  9.62401760E-01  -9.00845740E-01  -9.75886529E-01
  9.44625581E-01  -7.33373538E-01  -8.37422457E-01
  9.29393268E-01  -4.92900158E-01  -5.83666757E-01
  9.15560060E-01  -2.12036376E-01  -2.57110205E-01
  9.02229437E-01   8.02640192E-02   9.32723198E-02
  8.88590829E-01   3.56952084E-01   4.17456484E-01
  8.73771113E-01   5.91163023E-01   6.69237436E-01
  8.56672260E-01   7.55081461E-01   8.11608918E-01
  8.35786540E-01   8.20269175E-01   8.23290025E-01
  8.09085048E-01   7.61717892E-01   7.05913455E-01
  7.74417112E-01   5.69931676E-01   4.88277652E-01
  7.31350116E-01   2.72160053E-01   2.19470831E-01
  6.83952747E-01  -5.69554004E-02  -5.14847287E-02
  6.39621878E-01  -3.29335480E-01  -2.89114429E-01
  6.03209352E-01  -4.95734577E-01  -4.66209171E-01
  5.74931313E-01  -5.53909509E-01  -5.62280964E-01
  5.52858251E-01  -5.24498649E-01  -5.69637564E-01
  5.34959564E-01  -4.32342501E-01  -4.94999754E-01
  5.19672572E-01  -2.99751921E-01  -3.56138748E-01
  5.05855021E-01  -1.45604468E-01  -1.77477813E-01
  4.92617197E-01   1.38321112E-02   1.36399278E-02
  4.79164641E-01   1.63803847E-01   1.89928475E-01
  4.64655289E-01   2.90131986E-01   3.26814733E-01
  4.48045856E-01   3.78734370E-01   4.05359953E-01
  4.27919502E-01   4.16098974E-01   4.15769146E-01
  4.02381729E-01   3.91878931E-01   3.61171506E-01
  3.69419262E-01   3.05441336E-01   2.59632922E-01
  3.28561004E-01   1.75361390E-01   1.39778020E-01
  2.83426331E-01   3.98432624E-02   2.82080831E-02
  2.40802584E-01  -6.48451402E-02  -6.04696993E-02
  2.05396074E-01  -1.25895615E-01  -1.21467222E-01
  1.77731595E-01  -1.49739308E-01  -1.54760085E-01
  1.56246545E-01  -1.48151558E-01  -1.63388599E-01
  1.39181974E-01  -1.31311465E-01  -1.52577051E-01
  1.25191677E-01  -1.06603684E-01  -1.28610738E-01
  1.13375578E-01  -7.91725601E-02  -9.78454211E-02
  1.03204110E-01  -5.25997969E-02  -6.59924643E-02
  9.44959498E-02  -2.93443895E-02  -3.75995347E-02
  8.75143162E-02  -1.08990500E-02  -1.56079700E-02
  8.32373520E-02   2.38727867E-03  -8.89012521E-04
  8.37657487E-02   1.19287728E-02   8.24826670E-03
  9.23533211E-02   2.20399691E-02   1.64295575E-02
  1.12004279E-01   4.09509958E-02   3.09881926E-02
  1.42679058E-01   7.85627276E-02   6.00852079E-02
  1.79430345E-01   1.36641925E-01   1.07900895E-01
  2.14898258E-01   1.99645200E-01   1.68175030E-01
  2.44620545E-01   2.43943346E-01   2.23274727E-01
  2.68247393E-01   2.54430894E-01   2.52760794E-01
  2.87227017E-01   2.28195533E-01   2.42860367E-01
  3.03128930E-01   1.69719572E-01   1.89845652E-01
  3.17193898E-01   8.65445525E-02   9.89172709E-02
  3.30370066E-01  -1.27406520E-02  -1.82130290E-02
  3.43447396E-01  -1.19031705E-01  -1.45624856E-01
  3.57191622E-01  -2.22492626E-01  -2.65127544E-01
  3.72476325E-01  -3.11930086E-01  -3.58030673E-01
  3.90432406E-01  -3.73959813E-01  -4.07137978E-01
  4.12606277E-01  -3.92241428E-01  -3.99272613E-01
  4.40990766E-01  -3.47798992E-01  -3.28312391E-01
  4.77435823E-01  -2.23539344E-01  -1.97656537E-01
  5.21620488E-01  -1.82359353E-02  -1.96076040E-02
  5.68670073E-01   2.33440588E-01   1.87593707E-01
  6.11311932E-01   4.64135540E-01   3.96819760E-01
  6.45613285E-01   6.13782307E-01   5.68016675E-01
  6.72049438E-01   6.58601095E-01   6.60281674E-01
  6.92756361E-01   6.04542625E-01   6.49109332E-01
  7.09738201E-01   4.70750608E-01   5.32268355E-01
  7.24483693E-01   2.79692789E-01   3.26445280E-01
  7.38078843E-01   5.36912560E-02   6.14193630E-02
