shat:   0.78  q:   1.40  eps:   0.19  ikxspace:    5
 imod, kxrh(ix), ix, ixplus(imod,ix), ixminus(imod,ix)
     1 -1.729986     1     1     1
     1 -1.647606     2     2     2
     1 -1.565226     3     3     3
     1 -1.482845     4     4     4
     1 -1.400465     5     5     5
     1 -1.318085     6     6     6
     1 -1.235704     7     7     7
     1 -1.153324     8     8     8
     1 -1.070944     9     9     9
     1 -0.988564    10    10    10
     1 -0.906183    11    11    11
     1 -0.823803    12    12    12
     1 -0.741423    13    13    13
     1 -0.659042    14    14    14
     1 -0.576662    15    15    15
     1 -0.494282    16    16    16
     1 -0.411901    17    17    17
     1 -0.329521    18    18    18
     1 -0.247141    19    19    19
     1 -0.164761    20    20    20
     1 -0.082380    21    21    21
     1 -0.000000    22    22    22
     1  0.082380    23    23    23
     1  0.164761    24    24    24
     1  0.247141    25    25    25
     1  0.329521    26    26    26
     1  0.411901    27    27    27
     1  0.494282    28    28    28
     1  0.576662    29    29    29
     1  0.659042    30    30    30
     1  0.741423    31    31    31
     1  0.823803    32    32    32
     1  0.906183    33    33    33
     1  0.988564    34    34    34
     1  1.070944    35    35    35
     1  1.153324    36    36    36
     1  1.235704    37    37    37
     1  1.318085    38    38    38
     1  1.400465    39    39    39
     1  1.482845    40    40    40
     1  1.565226    41    41    41
     1  1.647606    42    42    42
     1  1.729986    43    43    43
     2 -1.729986     1     6     0
     2 -1.647606     2     7     0
     2 -1.565226     3     8     0
     2 -1.482845     4     9     0
     2 -1.400465     5    10     0
     2 -1.318085     6    11     1
     2 -1.235704     7    12     2
     2 -1.153324     8    13     3
     2 -1.070944     9    14     4
     2 -0.988564    10    15     5
     2 -0.906183    11    16     6
     2 -0.823803    12    17     7
     2 -0.741423    13    18     8
     2 -0.659042    14    19     9
     2 -0.576662    15    20    10
     2 -0.494282    16    21    11
     2 -0.411901    17    22    12
     2 -0.329521    18    23    13
     2 -0.247141    19    24    14
     2 -0.164761    20    25    15
     2 -0.082380    21    26    16
     2 -0.000000    22    27    17
     2  0.082380    23    28    18
     2  0.164761    24    29    19
     2  0.247141    25    30    20
     2  0.329521    26    31    21
     2  0.411901    27    32    22
     2  0.494282    28    33    23
     2  0.576662    29    34    24
     2  0.659042    30    35    25
     2  0.741423    31    36    26
     2  0.823803    32    37    27
     2  0.906183    33    38    28
     2  0.988564    34    39    29
     2  1.070944    35    40    30
     2  1.153324    36    41    31
     2  1.235704    37    42    32
     2  1.318085    38    43    33
     2  1.400465    39     0    34
     2  1.482845    40     0    35
     2  1.565226    41     0    36
     2  1.647606    42     0    37
     2  1.729986    43     0    38
     3 -1.729986     1    11     0
     3 -1.647606     2    12     0
     3 -1.565226     3    13     0
     3 -1.482845     4    14     0
     3 -1.400465     5    15     0
     3 -1.318085     6    16     0
     3 -1.235704     7    17     0
     3 -1.153324     8    18     0
     3 -1.070944     9    19     0
     3 -0.988564    10    20     0
     3 -0.906183    11    21     1
     3 -0.823803    12    22     2
     3 -0.741423    13    23     3
     3 -0.659042    14    24     4
     3 -0.576662    15    25     5
     3 -0.494282    16    26     6
     3 -0.411901    17    27     7
     3 -0.329521    18    28     8
     3 -0.247141    19    29     9
     3 -0.164761    20    30    10
     3 -0.082380    21    31    11
     3 -0.000000    22    32    12
     3  0.082380    23    33    13
     3  0.164761    24    34    14
     3  0.247141    25    35    15
     3  0.329521    26    36    16
     3  0.411901    27    37    17
     3  0.494282    28    38    18
     3  0.576662    29    39    19
     3  0.659042    30    40    20
     3  0.741423    31    41    21
     3  0.823803    32    42    22
     3  0.906183    33    43    23
     3  0.988564    34     0    24
     3  1.070944    35     0    25
     3  1.153324    36     0    26
     3  1.235704    37     0    27
     3  1.318085    38     0    28
     3  1.400465    39     0    29
     3  1.482845    40     0    30
     3  1.565226    41     0    31
     3  1.647606    42     0    32
     3  1.729986    43     0    33
     4 -1.729986     1    16     0
     4 -1.647606     2    17     0
     4 -1.565226     3    18     0
     4 -1.482845     4    19     0
     4 -1.400465     5    20     0
     4 -1.318085     6    21     0
     4 -1.235704     7    22     0
     4 -1.153324     8    23     0
     4 -1.070944     9    24     0
     4 -0.988564    10    25     0
     4 -0.906183    11    26     0
     4 -0.823803    12    27     0
     4 -0.741423    13    28     0
     4 -0.659042    14    29     0
     4 -0.576662    15    30     0
     4 -0.494282    16    31     1
     4 -0.411901    17    32     2
     4 -0.329521    18    33     3
     4 -0.247141    19    34     4
     4 -0.164761    20    35     5
     4 -0.082380    21    36     6
     4 -0.000000    22    37     7
     4  0.082380    23    38     8
     4  0.164761    24    39     9
     4  0.247141    25    40    10
     4  0.329521    26    41    11
     4  0.411901    27    42    12
     4  0.494282    28    43    13
     4  0.576662    29     0    14
     4  0.659042    30     0    15
     4  0.741423    31     0    16
     4  0.823803    32     0    17
     4  0.906183    33     0    18
     4  0.988564    34     0    19
     4  1.070944    35     0    20
     4  1.153324    36     0    21
     4  1.235704    37     0    22
     4  1.318085    38     0    23
     4  1.400465    39     0    24
     4  1.482845    40     0    25
     4  1.565226    41     0    26
     4  1.647606    42     0    27
     4  1.729986    43     0    28
     5 -1.729986     1    21     0
     5 -1.647606     2    22     0
     5 -1.565226     3    23     0
     5 -1.482845     4    24     0
     5 -1.400465     5    25     0
     5 -1.318085     6    26     0
     5 -1.235704     7    27     0
     5 -1.153324     8    28     0
     5 -1.070944     9    29     0
     5 -0.988564    10    30     0
     5 -0.906183    11    31     0
     5 -0.823803    12    32     0
     5 -0.741423    13    33     0
     5 -0.659042    14    34     0
     5 -0.576662    15    35     0
     5 -0.494282    16    36     0
     5 -0.411901    17    37     0
     5 -0.329521    18    38     0
     5 -0.247141    19    39     0
     5 -0.164761    20    40     0
     5 -0.082380    21    41     1
     5 -0.000000    22    42     2
     5  0.082380    23    43     3
     5  0.164761    24     0     4
     5  0.247141    25     0     5
     5  0.329521    26     0     6
     5  0.411901    27     0     7
     5  0.494282    28     0     8
     5  0.576662    29     0     9
     5  0.659042    30     0    10
     5  0.741423    31     0    11
     5  0.823803    32     0    12
     5  0.906183    33     0    13
     5  0.988564    34     0    14
     5  1.070944    35     0    15
     5  1.153324    36     0    16
     5  1.235704    37     0    17
     5  1.318085    38     0    18
     5  1.400465    39     0    19
     5  1.482845    40     0    20
     5  1.565226    41     0    21
     5  1.647606    42     0    22
     5  1.729986    43     0    23
     6 -1.729986     1    26     0
     6 -1.647606     2    27     0
     6 -1.565226     3    28     0
     6 -1.482845     4    29     0
     6 -1.400465     5    30     0
     6 -1.318085     6    31     0
     6 -1.235704     7    32     0
     6 -1.153324     8    33     0
     6 -1.070944     9    34     0
     6 -0.988564    10    35     0
     6 -0.906183    11    36     0
     6 -0.823803    12    37     0
     6 -0.741423    13    38     0
     6 -0.659042    14    39     0
     6 -0.576662    15    40     0
     6 -0.494282    16    41     0
     6 -0.411901    17    42     0
     6 -0.329521    18    43     0
     6 -0.247141    19     0     0
