The toroidal mode    1
 Perpend. k-vec  Curvature        Coriolis
  3.37759204E+00  -7.93749035E-01  -6.53481057E-01
  3.37759204E+00  -2.16882079E+00  -1.87488678E+00
  3.37759204E+00  -3.03267948E+00  -2.82688398E+00
  3.37759204E+00  -3.31419565E+00  -3.34167121E+00
  3.37759204E+00  -3.08604615E+00  -3.33124152E+00
  3.37759204E+00  -2.46845450E+00  -2.80786616E+00
  3.37759204E+00  -1.58381554E+00  -1.86572968E+00
  3.37759204E+00  -5.44741646E-01  -6.52985615E-01
  3.37759204E+00   5.44741646E-01   6.52985615E-01
  3.37759204E+00   1.58381554E+00   1.86572968E+00
  3.37759204E+00   2.46845450E+00   2.80786616E+00
  3.37759204E+00   3.08604615E+00   3.33124152E+00
  3.37759204E+00   3.31419565E+00   3.34167121E+00
  3.37759204E+00   3.03267948E+00   2.82688398E+00
  3.37759204E+00   2.16882079E+00   1.87488678E+00
  3.37759204E+00   7.93749035E-01   6.53481057E-01
The toroidal mode    2
 Perpend. k-vec  Curvature        Coriolis
  3.46896848E+00  -7.64147538E-01  -6.31407734E-01
  3.44688515E+00  -2.17479433E+00  -1.88225716E+00
  3.42896044E+00  -3.05864340E+00  -2.85314339E+00
  3.41513077E+00  -3.34864828E+00  -3.37829917E+00
  3.40434508E+00  -3.12248722E+00  -3.37231092E+00
  3.39556579E+00  -2.50400713E+00  -2.84991242E+00
  3.38801229E+00  -1.61780256E+00  -1.90728224E+00
  3.38111662E+00  -5.77684735E-01  -6.93945086E-01
  3.37443172E+00   5.11798557E-01   6.12026143E-01
  3.36754897E+00   1.54982852E+00   1.82417711E+00
  3.36002281E+00   2.43290187E+00   2.76581991E+00
  3.35128821E+00   3.04960508E+00   3.29017211E+00
  3.34056820E+00   3.27974302E+00   3.30504326E+00
  3.32682615E+00   3.00671557E+00   2.80062456E+00
  3.30899958E+00   2.16284725E+00   1.86751641E+00
  3.28698834E+00   8.23350533E-01   6.75554380E-01
  3.26304148E+00  -7.15748207E-01  -5.91561328E-01
  3.24095622E+00  -2.04254916E+00  -1.76793480E+00
  3.22302866E+00  -2.87372391E+00  -2.68077242E+00
  3.20919637E+00  -3.14656318E+00  -3.17453873E+00
  3.19840870E+00  -2.93431367E+00  -3.16918644E+00
  3.18962805E+00  -2.35349161E+00  -2.67870107E+00
  3.18207372E+00  -1.52122844E+00  -1.79351824E+00
  3.17517768E+00  -5.44468781E-01  -6.54128890E-01
  3.16849284E+00   4.78582603E-01   5.72209947E-01
  3.16161056E+00   1.45325440E+00   1.71041310E+00
  3.15408535E+00   2.28238635E+00   2.59460856E+00
  3.14535230E+00   2.86143153E+00   3.08704763E+00
  3.13463456E+00   3.07765792E+00   3.10128282E+00
  3.12089560E+00   2.82179609E+00   2.62825359E+00
  3.10307257E+00   2.03060208E+00   1.75319404E+00
  3.08106413E+00   7.74951202E-01   6.35707974E-01
  3.05711767E+00  -6.67348875E-01  -5.51714922E-01
  3.03503025E+00  -1.91030399E+00  -1.65361243E+00
  3.01709947E+00  -2.68880443E+00  -2.50840145E+00
  3.00326422E+00  -2.94447808E+00  -2.97077829E+00
  2.99247429E+00  -2.74614013E+00  -2.96606195E+00
  2.98369210E+00  -2.20297609E+00  -2.50748972E+00
  2.97613684E+00  -1.42465432E+00  -1.67975424E+00
  2.96924039E+00  -5.11252827E-01  -6.14312694E-01
  2.96255560E+00   4.45366649E-01   5.32393751E-01
  2.95567387E+00   1.35668029E+00   1.59664910E+00
  2.94814975E+00   2.13187083E+00   2.42339721E+00
  2.93941846E+00   2.67325799E+00   2.88392315E+00
  2.92870333E+00   2.87557282E+00   2.89752238E+00
  2.91496789E+00   2.63687661E+00   2.45588261E+00
  2.89714894E+00   1.89835691E+00   1.63887168E+00
  2.87514371E+00   7.26551870E-01   5.95861568E-01
  2.85119775E+00  -6.18949544E-01  -5.11868516E-01
  2.82910789E+00  -1.77805882E+00  -1.53929007E+00
  2.81117344E+00  -2.50388495E+00  -2.33603047E+00
  2.79733480E+00  -2.74239298E+00  -2.76701785E+00
  2.78654229E+00  -2.55796658E+00  -2.76293747E+00
  2.77775834E+00  -2.05246057E+00  -2.33627836E+00
  2.77020202E+00  -1.32808020E+00  -1.56599023E+00
  2.76330510E+00  -4.78036873E-01  -5.74496498E-01
  2.75662038E+00   4.12150695E-01   4.92577555E-01
  2.74973927E+00   1.26010617E+00   1.48288509E+00
  2.74221642E+00   1.98135532E+00   2.25218585E+00
  2.73348717E+00   2.48508444E+00   2.68079867E+00
  2.72277506E+00   2.67348771E+00   2.69376194E+00
  2.70904369E+00   2.45195713E+00   2.28351164E+00
  2.69122945E+00   1.76611174E+00   1.52454931E+00
  2.66922798E+00   6.78152539E-01   5.56015162E-01
  2.64528263E+00  -5.70550212E-01  -4.72022111E-01
  2.62318998E+00  -1.64581364E+00  -1.42496770E+00
  2.60525132E+00  -2.31896547E+00  -2.16365950E+00
  2.59140877E+00  -2.54030788E+00  -2.56325741E+00
  2.58061328E+00  -2.36979304E+00  -2.55981299E+00
  2.57182730E+00  -1.90194505E+00  -2.16506701E+00
  2.56426975E+00  -1.23150609E+00  -1.45222623E+00
  2.55737229E+00  -4.44820919E-01  -5.34680302E-01
  2.55068767E+00   3.78934741E-01   4.52761359E-01
  2.54380730E+00   1.16353205E+00   1.36912109E+00
  2.53628592E+00   1.83083980E+00   2.08097450E+00
  2.52755905E+00   2.29691090E+00   2.47767418E+00
  2.51685046E+00   2.47140261E+00   2.49000150E+00
  2.50312386E+00   2.26703765E+00   2.11114067E+00
  2.48531514E+00   1.63386657E+00   1.41022695E+00
  2.46331810E+00   6.29753207E-01   5.16168756E-01
  2.43937353E+00  -5.22150881E-01  -4.32175705E-01
  2.41727767E+00  -1.51356847E+00  -1.31064534E+00
  2.39933411E+00  -2.13404599E+00  -1.99128852E+00
  2.38548700E+00  -2.33822278E+00  -2.35949697E+00
  2.37468805E+00  -2.18161949E+00  -2.35668851E+00
  2.36589969E+00  -1.75142954E+00  -1.99385566E+00
  2.35834071E+00  -1.13493197E+00  -1.33846222E+00
  2.35144263E+00  -4.11604965E-01  -4.94864106E-01
  2.34475812E+00   3.45718787E-01   4.12945163E-01
  2.33787862E+00   1.06695793E+00   1.25535709E+00
  2.33035899E+00   1.68032428E+00   1.90976315E+00
  2.32163494E+00   2.10873735E+00   2.27454970E+00
  2.31093051E+00   2.26931751E+00   2.28624106E+00
  2.29720957E+00   2.08211817E+00   1.93876969E+00
  2.27940741E+00   1.50162140E+00   1.29590458E+00
  2.25741567E+00   5.81353876E-01   4.76322350E-01
  2.23347210E+00  -4.73751549E-01  -3.92329299E-01
  2.21137251E+00  -1.38132330E+00  -1.19632297E+00
  2.19342319E+00  -1.94912651E+00  -1.81891755E+00
  2.17957071E+00  -2.13613768E+00  -2.15573653E+00
  2.16876765E+00  -1.99344594E+00  -2.15356402E+00
  2.15997649E+00  -1.60091402E+00  -1.82264431E+00
  2.15241583E+00  -1.03835785E+00  -1.22469822E+00
  2.14551701E+00  -3.78389011E-01  -4.55047910E-01
  2.13883265E+00   3.12502833E-01   3.73128967E-01
  2.13195421E+00   9.70383813E-01   1.14159308E+00
  2.12443667E+00   1.52980876E+00   1.73855180E+00
  2.11571602E+00   1.92056380E+00   2.07142522E+00
  2.10501659E+00   2.06723241E+00   2.08248062E+00
  2.09130245E+00   1.89719869E+00   1.76639872E+00
  2.07350822E+00   1.36937623E+00   1.18158222E+00
  2.05152294E+00   5.32954544E-01   4.36475944E-01
  2.02758068E+00  -4.25352218E-01  -3.52482893E-01
  2.00547671E+00  -1.24907813E+00  -1.08200061E+00
  1.98752052E+00  -1.76420703E+00  -1.64654657E+00
  1.97366161E+00  -1.93405258E+00  -1.95197609E+00
  1.96285362E+00  -1.80527240E+00  -1.95043954E+00
  1.95405909E+00  -1.45039850E+00  -1.65143296E+00
  1.94649641E+00  -9.41783731E-01  -1.11093421E+00
  1.93959672E+00  -3.45173057E-01  -4.15231714E-01
  1.93291256E+00   2.79286879E-01   3.33312771E-01
  1.92603543E+00   8.73809694E-01   1.02782908E+00
  1.91852046E+00   1.37929324E+00   1.56734045E+00
  1.90980396E+00   1.73239026E+00   1.86830073E+00
  1.89911065E+00   1.86514731E+00   1.87872018E+00
  1.88540486E+00   1.71227921E+00   1.59402774E+00
  1.86762040E+00   1.23713106E+00   1.06725985E+00
  1.84564315E+00   4.84555213E-01   3.96629538E-01
  1.82170267E+00  -3.76952887E-01  -3.12636487E-01
  1.79959349E+00  -1.11683296E+00  -9.67678242E-01
  1.78162896E+00  -1.57928755E+00  -1.47417560E+00
  1.76776220E+00  -1.73196748E+00  -1.74821565E+00
  1.75694819E+00  -1.61709885E+00  -1.74731506E+00
  1.74814955E+00  -1.29988298E+00  -1.48022161E+00
  1.74058440E+00  -8.45209613E-01  -9.97170208E-01
  1.73368366E+00  -3.11957103E-01  -3.75415518E-01
  1.72699978E+00   2.46070925E-01   2.93496575E-01
  1.72012430E+00   7.77235576E-01   9.14065071E-01
  1.71261255E+00   1.22877772E+00   1.39612910E+00
  1.70390124E+00   1.54421671E+00   1.66517625E+00
  1.69321561E+00   1.66306221E+00   1.67495974E+00
  1.67952030E+00   1.52735973E+00   1.42165677E+00
  1.66174818E+00   1.10488589E+00   9.52937488E-01
  1.63978119E+00   4.36155882E-01   3.56783132E-01
  1.61584321E+00  -3.28553555E-01  -2.72790081E-01
  1.59372771E+00  -9.84587795E-01  -8.53355877E-01
  1.57575287E+00  -1.39436807E+00  -1.30180463E+00
  1.56187634E+00  -1.52988238E+00  -1.54445521E+00
  1.55105480E+00  -1.42892531E+00  -1.54419057E+00
  1.54225101E+00  -1.14936746E+00  -1.30901026E+00
  1.53468278E+00  -7.48635494E-01  -8.83406203E-01
  1.52778077E+00  -2.78741149E-01  -3.35599322E-01
  1.52109728E+00   2.12854971E-01   2.53680379E-01
  1.51422393E+00   6.80661457E-01   8.00301066E-01
  1.50671635E+00   1.07826221E+00   1.22491775E+00
  1.49801172E+00   1.35604317E+00   1.46205177E+00
  1.48733600E+00   1.46097711E+00   1.47119930E+00
  1.47365424E+00   1.34244025E+00   1.24928579E+00
  1.45589816E+00   9.72640722E-01   8.38615123E-01
  1.43394471E+00   3.87756550E-01   3.16936726E-01
  1.41001039E+00  -2.80154224E-01  -2.32943675E-01
  1.38788714E+00  -8.52342625E-01  -7.39033512E-01
  1.36989922E+00  -1.20944859E+00  -1.12943365E+00
  1.35601017E+00  -1.32779728E+00  -1.34069477E+00
  1.34517896E+00  -1.24075176E+00  -1.34106609E+00
  1.33636855E+00  -9.98851945E-01  -1.13779890E+00
  1.32879639E+00  -6.52061376E-01  -7.69642198E-01
  1.32189278E+00  -2.45525195E-01  -2.95783126E-01
  1.31520989E+00   1.79639017E-01   2.13864183E-01
  1.30833943E+00   5.84087339E-01   6.86537062E-01
  1.30083741E+00   9.27746688E-01   1.05370639E+00
  1.29214172E+00   1.16786962E+00   1.25892729E+00
  1.28147923E+00   1.25889201E+00   1.26743886E+00
  1.26781568E+00   1.15752077E+00   1.07691482E+00
  1.25008132E+00   8.40395552E-01   7.24292759E-01
  1.22814654E+00   3.39357219E-01   2.77090321E-01
  1.20421790E+00  -2.31754892E-01  -1.93097269E-01
  1.18208494E+00  -7.20097454E-01  -6.24711147E-01
  1.16407992E+00  -1.02452911E+00  -9.57062677E-01
  1.15017428E+00  -1.12571218E+00  -1.13693433E+00
  1.13933019E+00  -1.05257822E+00  -1.13794161E+00
  1.13051097E+00  -8.48336427E-01  -9.66587553E-01
  1.12293359E+00  -5.55487258E-01  -6.55878194E-01
  1.11602794E+00  -2.12309241E-01  -2.55966930E-01
  1.10934601E+00   1.46423063E-01   1.74047987E-01
  1.10247967E+00   4.87513221E-01   5.72773057E-01
  1.09498548E+00   7.77231170E-01   8.82495043E-01
  1.08630232E+00   9.79696077E-01   1.05580280E+00
  1.07565845E+00   1.05680691E+00   1.06367842E+00
  1.06202061E+00   9.72601284E-01   9.04543845E-01
  1.04431727E+00   7.08150382E-01   6.09970394E-01
  1.02240982E+00   2.90957887E-01   2.37243915E-01
  9.98490668E-01  -1.83355561E-01  -1.53250863E-01
  9.76345390E-01  -5.87852284E-01  -5.10388782E-01
  9.58317085E-01  -8.39609627E-01  -7.84691703E-01
  9.44388466E-01  -9.23627077E-01  -9.33173889E-01
  9.33526403E-01  -8.64404671E-01  -9.34817127E-01
  9.24694868E-01  -6.97820909E-01  -7.95376202E-01
  9.17110283E-01  -4.58913139E-01  -5.42114189E-01
  9.10201969E-01  -1.79093287E-01  -2.16150734E-01
  9.03521716E-01   1.13207108E-01   1.34231791E-01
  8.96661685E-01   3.90939102E-01   4.59009052E-01
  8.89179304E-01   6.26715652E-01   7.11283691E-01
  8.80514993E-01   7.91522531E-01   8.52678321E-01
  8.69899172E-01   8.54721809E-01   8.59917980E-01
  8.56300399E-01   7.87681804E-01   7.32172871E-01
  8.38644876E-01   5.75905212E-01   4.95648029E-01
  8.16780982E-01   2.42558556E-01   1.97397509E-01
  7.92879489E-01  -1.34956229E-01  -1.13404457E-01
  7.70718654E-01  -4.55607114E-01  -3.96066417E-01
  7.52657047E-01  -6.54690146E-01  -6.12320729E-01
  7.38694584E-01  -7.21541976E-01  -7.29413450E-01
  7.27805756E-01  -6.76231125E-01  -7.31692644E-01
  7.18955881E-01  -5.47305391E-01  -6.24164850E-01
  7.11360740E-01  -3.62339021E-01  -4.28350184E-01
  7.04448928E-01  -1.45877333E-01  -1.76334538E-01
  6.97772044E-01   7.99911545E-02   9.44155951E-02
  6.90922824E-01   2.94364984E-01   3.45245048E-01
  6.83460223E-01   4.76200133E-01   5.40072340E-01
  6.74827372E-01   6.03348985E-01   6.49553838E-01
  6.64258577E-01   6.52636708E-01   6.56157540E-01
  6.50726042E-01   6.02762323E-01   5.59801897E-01
  6.33153464E-01   4.43660042E-01   3.81325664E-01
  6.11368879E-01   1.94159224E-01   1.57551103E-01
  5.87506224E-01  -8.65568979E-02  -7.35580514E-02
  5.65327849E-01  -3.23361944E-01  -2.81744052E-01
  5.47215711E-01  -4.69770665E-01  -4.39949754E-01
  5.33199037E-01  -5.19456875E-01  -5.25653010E-01
  5.22266504E-01  -4.88057579E-01  -5.28568161E-01
  5.13386724E-01  -3.96789872E-01  -4.52953499E-01
  5.05774994E-01  -2.65764902E-01  -3.14586180E-01
  4.98859069E-01  -1.12661379E-01  -1.36518342E-01
  4.92190584E-01   4.67752004E-02   5.45993991E-02
  4.85363709E-01   1.97790866E-01   2.31481043E-01
  4.77940718E-01   3.25684615E-01   3.68860988E-01
  4.69370560E-01   4.15175440E-01   4.46429356E-01
  4.58896237E-01   4.50551608E-01   4.52397101E-01
  4.45499496E-01   4.17842842E-01   3.87430922E-01
  4.28103724E-01   3.11414872E-01   2.67003299E-01
  4.06502214E-01   1.45759893E-01   1.17704697E-01
  3.82754037E-01  -3.81575665E-02  -3.37116455E-02
  3.60576371E-01  -1.91116774E-01  -1.67421688E-01
  3.42386987E-01  -2.84851185E-01  -2.67578780E-01
  3.28274500E-01  -3.17371775E-01  -3.21892570E-01
  3.17261397E-01  -2.99884034E-01  -3.25443679E-01
  3.08327275E-01  -2.46274354E-01  -2.81742147E-01
  3.00689202E-01  -1.69190784E-01  -2.00822175E-01
  2.93775184E-01  -7.94454249E-02  -9.67021457E-02
  2.87138861E-01   1.35592464E-02   1.47832031E-02
  2.80379958E-01   1.01216747E-01   1.17717038E-01
  2.73071772E-01   1.75169097E-01   1.97649637E-01
  2.64682589E-01   2.27001894E-01   2.43304873E-01
  2.54486668E-01   2.48466507E-01   2.48636661E-01
  2.41509066E-01   2.32923361E-01   2.15059948E-01
  2.24708030E-01   1.79169702E-01   1.52680934E-01
  2.03832293E-01   9.73605615E-02   7.78582910E-02
  1.80746099E-01   1.02417649E-02   6.13476038E-03
  1.58954306E-01  -5.88716041E-02  -5.30993226E-02
  1.40868992E-01  -9.99317039E-02  -9.52078058E-02
  1.26722105E-01  -1.15286674E-01  -1.18132130E-01
  1.15666314E-01  -1.11710488E-01  -1.22319196E-01
  1.06756257E-01  -9.57588359E-02  -1.10530796E-01
  9.92524937E-02  -7.26166658E-02  -8.70581702E-02
  9.26215778E-02  -4.62294709E-02  -5.68859497E-02
  8.64713248E-02  -1.96567076E-02  -2.50329929E-02
  8.04942346E-02   4.64262892E-03   3.95303359E-03
  7.44343012E-02   2.46535786E-02   2.64382853E-02
  6.80913578E-02   3.88283485E-02   4.01803903E-02
  6.14213511E-02   4.63814065E-02   4.48762213E-02
  5.49078061E-02   4.80038807E-02   4.26889736E-02
  5.04579873E-02   4.69245319E-02   3.83585693E-02
  5.17934998E-02   4.89612301E-02   3.80118851E-02
  6.05727761E-02   5.86410964E-02   4.59811663E-02
  7.31370886E-02   7.33735659E-02   6.12230422E-02
  8.53856355E-02   8.49877769E-02   7.71631685E-02
  9.58344717E-02   8.67984267E-02   8.56283092E-02
  1.04565808E-01   7.64630576E-02   8.08052868E-02
  1.12069166E-01   5.47566823E-02   6.06805556E-02
  1.18825624E-01   2.39574526E-02   2.67058345E-02
  1.25240027E-01  -1.30135168E-02  -1.70697537E-02
  1.31671046E-01  -5.28726617E-02  -6.48491889E-02
  1.38481524E-01  -9.19314894E-02  -1.09810971E-01
  1.46096364E-01  -1.25861940E-01  -1.44773066E-01
  1.55072250E-01  -1.49345197E-01  -1.62944092E-01
  1.66171930E-01  -1.55703694E-01  -1.58884218E-01
  1.80373266E-01  -1.36915600E-01  -1.29682001E-01
  1.98569202E-01  -8.53206381E-02  -7.59637956E-02
  2.20565046E-01   5.61898646E-04  -1.83452080E-03
  2.43926997E-01   1.07040428E-01   8.58275722E-02
  2.65071699E-01   2.05618736E-01   1.75545407E-01
  2.82079334E-01   2.69907258E-01   2.49534143E-01
  2.95197239E-01   2.88883527E-01   2.89388749E-01
  3.05484419E-01   2.64636603E-01   2.83929770E-01
  3.13932329E-01   2.05272201E-01   2.31891907E-01
  3.21277777E-01   1.20531571E-01   1.40469839E-01
  3.28059113E-01   2.02024372E-02   2.27464423E-02
  3.34706810E-01  -8.60886157E-02  -1.04665385E-01
  3.41623115E-01  -1.88505608E-01  -2.23574976E-01
  3.49255265E-01  -2.76377458E-01  -3.15984418E-01
