The toroidal mode    1
 Perpend. k-vec  Curvature        Coriolis
  3.37759204E+00  -7.93749035E-01  -6.53481057E-01
  3.37759204E+00  -2.16882079E+00  -1.87488678E+00
  3.37759204E+00  -3.03267948E+00  -2.82688398E+00
  3.37759204E+00  -3.31419565E+00  -3.34167121E+00
  3.37759204E+00  -3.08604615E+00  -3.33124152E+00
  3.37759204E+00  -2.46845450E+00  -2.80786616E+00
  3.37759204E+00  -1.58381554E+00  -1.86572968E+00
  3.37759204E+00  -5.44741646E-01  -6.52985615E-01
  3.37759204E+00   5.44741646E-01   6.52985615E-01
  3.37759204E+00   1.58381554E+00   1.86572968E+00
  3.37759204E+00   2.46845450E+00   2.80786616E+00
  3.37759204E+00   3.08604615E+00   3.33124152E+00
  3.37759204E+00   3.31419565E+00   3.34167121E+00
  3.37759204E+00   3.03267948E+00   2.82688398E+00
  3.37759204E+00   2.16882079E+00   1.87488678E+00
  3.37759204E+00   7.93749035E-01   6.53481057E-01
The toroidal mode    2
 Perpend. k-vec  Curvature        Coriolis
  3.45063432E+00  -7.70067837E-01  -6.35822399E-01
  3.43297250E+00  -2.17359962E+00  -1.88078309E+00
  3.41863986E+00  -3.05345061E+00  -2.84789151E+00
  3.40758265E+00  -3.34175776E+00  -3.37097357E+00
  3.39895904E+00  -3.11519900E+00  -3.36409704E+00
  3.39193899E+00  -2.49689660E+00  -2.84150317E+00
  3.38589823E+00  -1.61100516E+00  -1.89897173E+00
  3.38038261E+00  -5.71096117E-01  -6.85753192E-01
  3.37503459E+00   5.18387175E-01   6.20218037E-01
  3.36952725E+00   1.55662593E+00   1.83248762E+00
  3.36350399E+00   2.44001240E+00   2.77422916E+00
  3.35651253E+00   3.05689329E+00   3.29838599E+00
  3.34793095E+00   3.28663354E+00   3.31236885E+00
  3.33692980E+00   3.01190835E+00   2.80587645E+00
  3.32265993E+00   2.16404196E+00   1.86899048E+00
  3.30504420E+00   8.17430233E-01   6.71139715E-01
  3.28588586E+00  -7.31348372E-01  -6.03945274E-01
  3.26822303E+00  -2.06780348E+00  -1.78932519E+00
  3.25388891E+00  -2.90551503E+00  -2.70999473E+00
  3.24283036E+00  -3.18008968E+00  -3.20796522E+00
  3.23420573E+00  -2.96466017E+00  -3.20159745E+00
  3.22718498E+00  -2.37648419E+00  -2.70453409E+00
  3.22114380E+00  -1.53374586E+00  -1.80796053E+00
  3.21562799E+00  -5.44523354E-01  -6.53900235E-01
  3.21027999E+00   4.91814411E-01   5.88365081E-01
  3.20477288E+00   1.47936663E+00   1.74147642E+00
  3.19875010E+00   2.31959998E+00   2.63726008E+00
  3.19175941E+00   2.90635446E+00   3.13588641E+00
  3.18317897E+00   3.12496546E+00   3.14936050E+00
  3.17217935E+00   2.86397277E+00   2.66797967E+00
  3.15791123E+00   2.05824582E+00   1.77753259E+00
  3.14029686E+00   7.78710768E-01   6.39262590E-01
  3.12113868E+00  -6.92628907E-01  -5.72068149E-01
  3.10347474E+00  -1.96200735E+00  -1.69786730E+00
  3.08913900E+00  -2.75757944E+00  -2.57209795E+00
  3.07807895E+00  -3.01842160E+00  -3.04495687E+00
  3.06945320E+00  -2.81412133E+00  -3.03909787E+00
  3.06243168E+00  -2.25607177E+00  -2.56756501E+00
  3.05639004E+00  -1.45648657E+00  -1.71694932E+00
  3.05087402E+00  -5.17950591E-01  -6.22047278E-01
  3.04552604E+00   4.65241648E-01   5.56512124E-01
  3.04001919E+00   1.40210734E+00   1.65046521E+00
  3.03399693E+00   2.19918757E+00   2.50029100E+00
  3.02700710E+00   2.75581562E+00   2.97338682E+00
  3.01842792E+00   2.96329738E+00   2.98635214E+00
  3.00743001E+00   2.71603719E+00   2.53008289E+00
  2.99316384E+00   1.95244969E+00   1.68607470E+00
  2.97555099E+00   7.39991303E-01   6.07385466E-01
  2.95639300E+00  -6.53909442E-01  -5.40191025E-01
  2.93872783E+00  -1.85621121E+00  -1.60640941E+00
  2.92439028E+00  -2.60964386E+00  -2.43420117E+00
  2.91332859E+00  -2.85675352E+00  -2.88194852E+00
  2.90470159E+00  -2.66358249E+00  -2.87659828E+00
  2.89767921E+00  -2.13565936E+00  -2.43059592E+00
  2.89163705E+00  -1.37922727E+00  -1.62593812E+00
  2.88612080E+00  -4.91377828E-01  -5.90194321E-01
  2.88077285E+00   4.38668885E-01   5.24659167E-01
  2.87526629E+00   1.32484804E+00   1.55945401E+00
  2.86924462E+00   2.07877515E+00   2.36332192E+00
  2.86225575E+00   2.60527678E+00   2.81088724E+00
  2.85367798E+00   2.80162930E+00   2.82334379E+00
  2.84268197E+00   2.56810160E+00   2.39218611E+00
  2.82841799E+00   1.84665355E+00   1.59461681E+00
  2.81080685E+00   7.01271838E-01   5.75508341E-01
  2.79164907E+00  -6.15189977E-01  -5.08313900E-01
  2.77398255E+00  -1.75041507E+00  -1.51495152E+00
  2.75964299E+00  -2.46170827E+00  -2.29630439E+00
  2.74857945E+00  -2.69508544E+00  -2.71894017E+00
  2.73995105E+00  -2.51304366E+00  -2.71409869E+00
  2.73292772E+00  -2.01524694E+00  -2.29362684E+00
  2.72688498E+00  -1.30196798E+00  -1.53492692E+00
  2.72136847E+00  -4.64805065E-01  -5.58341364E-01
  2.71602055E+00   4.12096122E-01   4.92806210E-01
  2.71051432E+00   1.24758875E+00   1.46844281E+00
  2.70449332E+00   1.95836274E+00   2.22635283E+00
  2.69750552E+00   2.45473795E+00   2.64838765E+00
  2.68892934E+00   2.63996122E+00   2.66033544E+00
  2.67793547E+00   2.42016602E+00   2.25428933E+00
  2.66367396E+00   1.74085742E+00   1.50315891E+00
  2.64606475E+00   6.62552373E-01   5.43631216E-01
  2.62690724E+00  -5.76470512E-01  -4.76436775E-01
  2.60923919E+00  -1.64461894E+00  -1.42349363E+00
  2.59489738E+00  -2.31377269E+00  -2.15840761E+00
  2.58383178E+00  -2.53341735E+00  -2.55593182E+00
  2.57520180E+00  -2.36250482E+00  -2.55159911E+00
  2.56817740E+00  -1.89483453E+00  -2.15665776E+00
  2.56213401E+00  -1.22470868E+00  -1.44391571E+00
  2.55661721E+00  -4.38232301E-01  -5.26488408E-01
  2.55126932E+00   3.85523359E-01   4.60953253E-01
  2.54576346E+00   1.17032945E+00   1.37743160E+00
  2.53974322E+00   1.83795032E+00   2.08938375E+00
  2.53275664E+00   2.30419911E+00   2.48588806E+00
  2.52418226E+00   2.47829314E+00   2.49732709E+00
  2.51319083E+00   2.27223043E+00   2.11639255E+00
  2.49893211E+00   1.63506128E+00   1.41170102E+00
  2.48132511E+00   6.23832908E-01   5.11754091E-01
  2.46216791E+00  -5.37751047E-01  -4.44559650E-01
  2.44449816E+00  -1.53882280E+00  -1.33203573E+00
  2.43015381E+00  -2.16583711E+00  -2.02051083E+00
  2.41908586E+00  -2.37174927E+00  -2.39292346E+00
  2.41045410E+00  -2.21196599E+00  -2.38909952E+00
  2.40342848E+00  -1.77442211E+00  -2.01968868E+00
  2.39738435E+00  -1.14744939E+00  -1.35290451E+00
  2.39186723E+00  -4.11659538E-01  -4.94635451E-01
  2.38651939E+00   3.58950595E-01   4.29100297E-01
  2.38101396E+00   1.09307016E+00   1.28642040E+00
  2.37499457E+00   1.71753791E+00   1.95241467E+00
  2.36800939E+00   2.15366027E+00   2.32338848E+00
  2.35943707E+00   2.31662506E+00   2.33431874E+00
  2.34844842E+00   2.12429485E+00   1.97849577E+00
  2.33419290E+00   1.52926514E+00   1.32024313E+00
  2.31658845E+00   5.85113443E-01   4.79876967E-01
  2.29743164E+00  -4.99031581E-01  -4.12682526E-01
  2.27975995E+00  -1.43302667E+00  -1.24057784E+00
  2.26541271E+00  -2.01790152E+00  -1.88261406E+00
  2.25434208E+00  -2.21008119E+00  -2.22991511E+00
  2.24570829E+00  -2.06142715E+00  -2.22659994E+00
  2.23868128E+00  -1.65400970E+00  -1.88271960E+00
  2.23263632E+00  -1.07019009E+00  -1.26189331E+00
  2.22711882E+00  -3.85086775E-01  -4.62782494E-01
  2.22177104E+00   3.32377832E-01   3.97247340E-01
  2.21626610E+00   1.01581086E+00   1.19540920E+00
  2.21024771E+00   1.59712549E+00   1.81544559E+00
  2.20326414E+00   2.00312144E+00   2.16088889E+00
  2.19469419E+00   2.15495698E+00   2.17131039E+00
  2.18370875E+00   1.97635926E+00   1.84059899E+00
  2.16945695E+00   1.42346901E+00   1.22878524E+00
  2.15185545E+00   5.46393977E-01   4.47999842E-01
  2.13269912E+00  -4.60312116E-01  -3.80805401E-01
  2.11502524E+00  -1.32723053E+00  -1.14911995E+00
  2.10067466E+00  -1.86996594E+00  -1.74471728E+00
  2.08960096E+00  -2.04841311E+00  -2.06690676E+00
  2.08096482E+00  -1.91088831E+00  -2.06410035E+00
  2.07393621E+00  -1.53359729E+00  -1.74575052E+00
  2.06789028E+00  -9.92930798E-01  -1.17088210E+00
  2.06237235E+00  -3.58514012E-01  -4.30929537E-01
  2.05702465E+00   3.05805069E-01   3.65394383E-01
  2.05152029E+00   9.38551569E-01   1.10439799E+00
  2.04550306E+00   1.47671308E+00   1.67847651E+00
  2.03852136E+00   1.85258260E+00   1.99838930E+00
  2.02995418E+00   1.99328890E+00   2.00830203E+00
  2.01897249E+00   1.82842368E+00   1.70270221E+00
  2.00472504E+00   1.31767287E+00   1.13732735E+00
  1.98712703E+00   5.07674512E-01   4.16122717E-01
  1.96797130E+00  -4.21592651E-01  -3.48928276E-01
  1.95029489E+00  -1.22143439E+00  -1.05766206E+00
  1.93594046E+00  -1.72203035E+00  -1.60682050E+00
  1.92486317E+00  -1.88674503E+00  -1.90389841E+00
  1.91622430E+00  -1.76034948E+00  -1.90160076E+00
  1.90919382E+00  -1.41318487E+00  -1.60878144E+00
  1.90314676E+00  -9.15671504E-01  -1.07987090E+00
  1.89762834E+00  -3.31941248E-01  -3.99076580E-01
  1.89228072E+00   2.79232306E-01   3.33541426E-01
  1.88677705E+00   8.61292274E-01   1.01338679E+00
  1.88076119E+00   1.35630066E+00   1.54150743E+00
  1.87378172E+00   1.70204376E+00   1.83588972E+00
  1.86521781E+00   1.83162082E+00   1.84529368E+00
  1.85424056E+00   1.68048809E+00   1.56480543E+00
  1.83999827E+00   1.21187674E+00   1.04586946E+00
  1.82240442E+00   4.68955047E-01   3.84245593E-01
  1.80324947E+00  -3.82873186E-01  -3.17051151E-01
  1.78557012E+00  -1.11563826E+00  -9.66204166E-01
  1.77121116E+00  -1.57409477E+00  -1.46892372E+00
  1.76012964E+00  -1.72507695E+00  -1.74089006E+00
  1.75148755E+00  -1.60981064E+00  -1.73910118E+00
  1.74445486E+00  -1.29277246E+00  -1.47181236E+00
  1.73840647E+00  -8.38412209E-01  -9.88859694E-01
  1.73288748E+00  -3.05368485E-01  -3.67223624E-01
  1.72753998E+00   2.52659542E-01   3.01688469E-01
  1.72203714E+00   7.84032980E-01   9.22375585E-01
  1.71602293E+00   1.23588825E+00   1.40453835E+00
  1.70904611E+00   1.55150493E+00   1.67339013E+00
  1.70048613E+00   1.66995274E+00   1.68228533E+00
  1.68951422E+00   1.53255251E+00   1.42690865E+00
  1.67527815E+00   1.10608060E+00   9.54411564E-01
  1.65768936E+00   4.30235582E-01   3.52368468E-01
  1.63853543E+00  -3.44153721E-01  -2.85174027E-01
  1.62085263E+00  -1.00984212E+00  -8.74746274E-01
  1.60648827E+00  -1.42615918E+00  -1.33102694E+00
  1.59540171E+00  -1.56340887E+00  -1.57788171E+00
  1.58675574E+00  -1.45927180E+00  -1.57660159E+00
  1.57972042E+00  -1.17236004E+00  -1.33484328E+00
  1.57367044E+00  -7.61152914E-01  -8.97848490E-01
  1.56815077E+00  -2.78795722E-01  -3.35370667E-01
  1.56280342E+00   2.26086779E-01   2.69835513E-01
  1.55730160E+00   7.06773685E-01   8.31364381E-01
  1.55128940E+00   1.11547584E+00   1.26756927E+00
  1.54431583E+00   1.40096609E+00   1.51089055E+00
  1.53576065E+00   1.50828466E+00   1.51927698E+00
  1.52479528E+00   1.38461692E+00   1.28901187E+00
  1.51056685E+00   1.00028446E+00   8.62953672E-01
  1.49298434E+00   3.91516117E-01   3.20491343E-01
  1.47383179E+00  -3.05434256E-01  -2.53296902E-01
  1.45614490E+00  -9.04045985E-01  -7.83288382E-01
  1.44177401E+00  -1.27822360E+00  -1.19313016E+00
  1.43068129E+00  -1.40174079E+00  -1.41487335E+00
  1.42203061E+00  -1.30873297E+00  -1.41410200E+00
  1.41499206E+00  -1.05194763E+00  -1.19787419E+00
  1.40894015E+00  -6.83893620E-01  -8.06837286E-01
  1.40341966E+00  -2.52222959E-01  -3.03517710E-01
  1.39807253E+00   1.99514016E-01   2.37982556E-01
  1.39257199E+00   6.29514390E-01   7.40353177E-01
  1.38656231E+00   9.95063421E-01   1.13060019E+00
  1.37959279E+00   1.25042725E+00   1.34839096E+00
  1.37104361E+00   1.34661658E+00   1.35626863E+00
  1.36008643E+00   1.23668134E+00   1.15111509E+00
  1.34586763E+00   8.94488328E-01   7.71495780E-01
  1.32829311E+00   3.52796652E-01   2.88614218E-01
  1.30914250E+00  -2.66714791E-01  -2.21419777E-01
  1.29145065E+00  -7.98249849E-01  -6.91830491E-01
  1.27707169E+00  -1.13028801E+00  -1.05523338E+00
  1.26597133E+00  -1.24007271E+00  -1.25186500E+00
  1.25731477E+00  -1.15819413E+00  -1.25160242E+00
  1.25027220E+00  -9.31535212E-01  -1.06090511E+00
  1.24421788E+00  -6.06634325E-01  -7.15826083E-01
  1.23869639E+00  -2.25650196E-01  -2.71664753E-01
  1.23334956E+00   1.72941253E-01   2.06129599E-01
  1.22785069E+00   5.52255095E-01   6.49341973E-01
  1.22184425E+00   8.74651006E-01   9.93631104E-01
  1.21487994E+00   1.09988842E+00   1.18589137E+00
  1.20633847E+00   1.18494850E+00   1.19326027E+00
  1.19539183E+00   1.08874576E+00   1.01321831E+00
  1.18118552E+00   7.88692192E-01   6.80037888E-01
  1.16362152E+00   3.14077187E-01   2.56737094E-01
  1.14447372E+00  -2.27995325E-01  -1.89542653E-01
  1.12677580E+00  -6.92453713E-01  -6.00372599E-01
  1.11238663E+00  -9.82352429E-01  -9.17336599E-01
  1.10127652E+00  -1.07840463E+00  -1.08885665E+00
  1.09261242E+00  -1.00765529E+00  -1.08910283E+00
  1.08556469E+00  -8.11122798E-01  -9.23936032E-01
  1.07950731E+00  -5.29375030E-01  -6.24814879E-01
  1.07398457E+00  -1.99077432E-01  -2.39811796E-01
  1.06863820E+00   1.46368490E-01   1.74276642E-01
  1.06314157E+00   4.74995801E-01   5.58330770E-01
  1.05713944E+00   7.54238592E-01   8.56662023E-01
  1.05018206E+00   9.49349582E-01   1.02339179E+00
  1.04165086E+00   1.02328042E+00   1.03025192E+00
  1.03071833E+00   9.40810171E-01   8.75321533E-01
  1.01652884E+00   6.82896055E-01   5.88579996E-01
  9.98979278E-01   2.75357721E-01   2.24859969E-01
  9.79835805E-01  -1.89275860E-01  -1.57665528E-01
  9.62130298E-01  -5.86657577E-01  -5.08914707E-01
  9.47727832E-01  -8.34416844E-01  -7.79439820E-01
  9.36604839E-01  -9.16736550E-01  -9.25848298E-01
  9.27930751E-01  -8.57116457E-01  -9.26603246E-01
  9.20876181E-01  -6.90710383E-01  -7.86966951E-01
  9.14814756E-01  -4.52115736E-01  -5.33803675E-01
  9.09290420E-01  -1.72504669E-01  -2.07958840E-01
  9.03944777E-01   1.19795726E-01   1.42423685E-01
  8.98451314E-01   3.97736506E-01   4.67319566E-01
  8.92455226E-01   6.33826177E-01   7.19692942E-01
  8.85507517E-01   7.98810745E-01   8.60892202E-01
  8.76990662E-01   8.61612336E-01   8.67243571E-01
  8.66077961E-01   7.92874586E-01   7.37424754E-01
  8.51912340E-01   5.77099919E-01   4.97122104E-01
  8.34383756E-01   2.36638256E-01   1.92982844E-01
  8.15247463E-01  -1.50556395E-01  -1.25788403E-01
  7.97532336E-01  -4.80861441E-01  -4.17456815E-01
  7.83111849E-01  -6.86481260E-01  -6.41543040E-01
  7.71971104E-01  -7.55068469E-01  -7.62839947E-01
  7.63283143E-01  -7.06577620E-01  -7.64103660E-01
  7.56219071E-01  -5.70297969E-01  -6.49997869E-01
  7.50152076E-01  -3.74856441E-01  -4.42792471E-01
  7.44625666E-01  -1.45931906E-01  -1.76105883E-01
  7.39281288E-01   9.32229631E-02   1.10570729E-01
  7.33792641E-01   3.20477211E-01   3.76308362E-01
  7.27805582E-01   5.13413763E-01   5.82723861E-01
  7.20872292E-01   6.48271908E-01   6.98392615E-01
  7.12376893E-01   6.99944255E-01   7.04235219E-01
  7.01494040E-01   6.44939001E-01   5.99527975E-01
  6.87364892E-01   4.71303783E-01   4.05664212E-01
  6.69869397E-01   1.97918791E-01   1.61105719E-01
  6.50746301E-01  -1.11836930E-01  -9.39112783E-02
  6.33018995E-01  -3.75065305E-01  -3.25998923E-01
  6.18572869E-01  -5.38545675E-01  -5.03646261E-01
  6.07406165E-01  -5.93400389E-01  -5.99831595E-01
  5.98697700E-01  -5.56038784E-01  -6.01604074E-01
  5.91619580E-01  -4.49885554E-01  -5.13028788E-01
  5.85544481E-01  -2.97597146E-01  -3.51781268E-01
  5.80015345E-01  -1.19359143E-01  -1.44252926E-01
  5.74673461E-01   6.66501999E-02   7.87177718E-02
  5.69192955E-01   2.43217917E-01   2.85297158E-01
  5.63220829E-01   3.93001348E-01   4.45754780E-01
  5.56311301E-01   4.97733072E-01   5.35893029E-01
  5.47851399E-01   5.38276175E-01   5.41226867E-01
  5.37018476E-01   4.97003417E-01   4.61631195E-01
  5.22951676E-01   3.65507647E-01   3.14206320E-01
  5.05515449E-01   1.59199326E-01   1.29228595E-01
  4.86420777E-01  -7.31174649E-02  -6.20341536E-02
  4.68679390E-01  -2.69269169E-01  -2.34541031E-01
  4.54194588E-01  -3.90610091E-01  -3.65749481E-01
  4.42986698E-01  -4.31732308E-01  -4.36823243E-01
  4.34245114E-01  -4.05499947E-01  -4.39104488E-01
  4.27144325E-01  -3.29473139E-01  -3.76059707E-01
  4.21056581E-01  -2.20337851E-01  -2.60770064E-01
  4.15524151E-01  -9.27863794E-02  -1.12399969E-01
  4.10188314E-01   4.00774367E-02   4.68648150E-02
  4.04724229E-01   1.65958622E-01   1.94285955E-01
  3.98781320E-01   2.72588934E-01   3.08785699E-01
