The toroidal mode    1
 Perpend. k-vec  Curvature        Coriolis
  3.37759204E+00  -7.93749035E-01  -6.53481057E-01
  3.37759204E+00  -2.16882079E+00  -1.87488678E+00
  3.37759204E+00  -3.03267948E+00  -2.82688398E+00
  3.37759204E+00  -3.31419565E+00  -3.34167121E+00
  3.37759204E+00  -3.08604615E+00  -3.33124152E+00
  3.37759204E+00  -2.46845450E+00  -2.80786616E+00
  3.37759204E+00  -1.58381554E+00  -1.86572968E+00
  3.37759204E+00  -5.44741646E-01  -6.52985615E-01
  3.37759204E+00   5.44741646E-01   6.52985615E-01
  3.37759204E+00   1.58381554E+00   1.86572968E+00
  3.37759204E+00   2.46845450E+00   2.80786616E+00
  3.37759204E+00   3.08604615E+00   3.33124152E+00
  3.37759204E+00   3.31419565E+00   3.34167121E+00
  3.37759204E+00   3.03267948E+00   2.82688398E+00
  3.37759204E+00   2.16882079E+00   1.87488678E+00
  3.37759204E+00   7.93749035E-01   6.53481057E-01
The toroidal mode    2
 Perpend. k-vec  Curvature        Coriolis
  3.56105818E+00  -7.34546040E-01  -6.09334411E-01
  3.51683748E+00  -2.18076786E+00  -1.88962754E+00
  3.48090466E+00  -3.08460731E+00  -2.87940281E+00
  3.45316759E+00  -3.38310092E+00  -3.41492712E+00
  3.43153683E+00  -3.15892829E+00  -3.41338032E+00
  3.41393767E+00  -2.53955976E+00  -2.89195867E+00
  3.39880624E+00  -1.65178958E+00  -1.94883481E+00
  3.38500431E+00  -6.10627825E-01  -7.34904557E-01
  3.37163668E+00   4.78855468E-01   5.71066672E-01
  3.35788647E+00   1.51584150E+00   1.78262454E+00
  3.34286448E+00   2.39734924E+00   2.72377365E+00
  3.32544424E+00   3.01316401E+00   3.24910271E+00
  3.30407654E+00   3.24529038E+00   3.26841530E+00
  3.27669077E+00   2.98075166E+00   2.77436515E+00
  3.24115225E+00   2.15687372E+00   1.86014603E+00
  3.19722307E+00   8.52952030E-01   6.97627702E-01
  3.14934835E+00  -6.37747378E-01  -5.29641600E-01
  3.10511451E+00  -1.91627752E+00  -1.66098281E+00
  3.06916011E+00  -2.71476835E+00  -2.53466086E+00
  3.04140254E+00  -2.97893072E+00  -3.00740624E+00
  3.01975599E+00  -2.78258120E+00  -3.00713136E+00
  3.00214604E+00  -2.23852872E+00  -2.54953597E+00
  2.98700816E+00  -1.45864134E+00  -1.72130680E+00
  2.97320356E+00  -5.44195916E-01  -6.55272165E-01
  2.95983679E+00   4.12423560E-01   4.91434280E-01
  2.94609110E+00   1.32269327E+00   1.55509653E+00
  2.93107790E+00   2.09631821E+00   2.38135095E+00
  2.91367179E+00   2.63681692E+00   2.84285375E+00
  2.89232500E+00   2.84112018E+00   2.86089442E+00
  2.86496789E+00   2.61091270E+00   2.42962320E+00
  2.82946334E+00   1.89238338E+00   1.63150130E+00
  2.78556294E+00   7.56153368E-01   6.17934891E-01
  2.73769617E+00  -5.40948715E-01  -4.49948788E-01
  2.69344613E+00  -1.65178718E+00  -1.43233808E+00
  2.65746420E+00  -2.34492938E+00  -2.18991891E+00
  2.62968022E+00  -2.57476052E+00  -2.59988536E+00
  2.60801326E+00  -2.40623411E+00  -2.60088239E+00
  2.59038933E+00  -1.93749768E+00  -2.20711327E+00
  2.57524315E+00  -1.26549310E+00  -1.49377879E+00
  2.56143520E+00  -4.77764008E-01  -5.75639773E-01
  2.54806973E+00   3.45991651E-01   4.11801888E-01
  2.53433022E+00   1.12954503E+00   1.32756852E+00
  2.51932889E+00   1.79528717E+00   2.03892825E+00
  2.50194181E+00   2.26046983E+00   2.43660478E+00
  2.48062325E+00   2.43694998E+00   2.45337354E+00
  2.45330496E+00   2.24107374E+00   2.08488125E+00
  2.41784684E+00   1.62789304E+00   1.40285657E+00
  2.37398653E+00   6.59354705E-01   5.38242079E-01
  2.32613225E+00  -4.44150052E-01  -3.70255976E-01
  2.28186187E+00  -1.38729684E+00  -1.20369335E+00
  2.24584368E+00  -1.97509042E+00  -1.84517696E+00
  2.21802443E+00  -2.17059031E+00  -2.19236448E+00
  2.19633005E+00  -2.02988701E+00  -2.19463343E+00
  2.17868735E+00  -1.63646665E+00  -1.86469057E+00
  2.16353010E+00  -1.07234487E+00  -1.26625079E+00
  2.14971785E+00  -4.11332100E-01  -4.96007381E-01
  2.13635450E+00   2.79559743E-01   3.32169496E-01
  2.12262390E+00   9.36396794E-01   1.10004051E+00
  2.10763945E+00   1.49425613E+00   1.69650554E+00
  2.09027941E+00   1.88412274E+00   2.03035581E+00
  2.06900099E+00   2.03277978E+00   2.04585266E+00
  2.04173826E+00   1.87123478E+00   1.74013930E+00
  2.00634731E+00   1.36340270E+00   1.17421184E+00
  1.96254651E+00   5.62556042E-01   4.58549267E-01
  1.91471351E+00  -3.47351389E-01  -2.90563164E-01
  1.87041727E+00  -1.12280650E+00  -9.75048618E-01
  1.83434928E+00  -1.60525146E+00  -1.50043502E+00
  1.80648065E+00  -1.76642011E+00  -1.78484360E+00
  1.78474756E+00  -1.65353992E+00  -1.78838446E+00
  1.76707835E+00  -1.33543561E+00  -1.52226786E+00
  1.75190562E+00  -8.79196631E-01  -1.03872278E+00
  1.73808774E+00  -3.44900192E-01  -4.16374989E-01
  1.72472821E+00   2.13127835E-01   2.52537104E-01
  1.71101151E+00   7.43248557E-01   8.72512503E-01
  1.69605298E+00   1.19322510E+00   1.35408284E+00
  1.67873429E+00   1.50777564E+00   1.62410685E+00
  1.65751746E+00   1.62860958E+00   1.63833178E+00
  1.63034065E+00   1.50139581E+00   1.39539735E+00
  1.59505527E+00   1.09891236E+00   9.45567112E-01
  1.55135142E+00   4.65757379E-01   3.78856455E-01
  1.50355912E+00  -2.50552726E-01  -2.10870352E-01
  1.45923048E+00  -8.58316161E-01  -7.46403889E-01
  1.42309044E+00  -1.23541250E+00  -1.15569307E+00
  1.39514799E+00  -1.36224991E+00  -1.37732272E+00
  1.37335636E+00  -1.27719283E+00  -1.38213549E+00
  1.35564703E+00  -1.03440457E+00  -1.17984516E+00
  1.34045132E+00  -6.86048394E-01  -8.11194766E-01
  1.32662609E+00  -2.78468284E-01  -3.36742597E-01
  1.31327448E+00   1.46695927E-01   1.72904712E-01
  1.29958232E+00   5.50100321E-01   6.44984493E-01
  1.28466845E+00   8.92194059E-01   1.01166014E+00
  1.26742072E+00   1.13142855E+00   1.21785788E+00
  1.24631008E+00   1.22443938E+00   1.23081090E+00
  1.21928332E+00   1.13155685E+00   1.05065540E+00
  1.18418697E+00   8.34422016E-01   7.16922382E-01
  1.14066616E+00   3.68958716E-01   2.99163643E-01
  1.09296746E+00  -1.53754063E-01  -1.31177541E-01
  1.04860481E+00  -5.93825821E-01  -5.17759159E-01
  1.01235425E+00  -8.65573538E-01  -8.10951119E-01
  9.84291191E-01  -9.58079710E-01  -9.69801844E-01
  9.62401760E-01  -9.00845740E-01  -9.75886529E-01
  9.44625581E-01  -7.33373538E-01  -8.37422457E-01
  9.29393268E-01  -4.92900158E-01  -5.83666757E-01
  9.15560060E-01  -2.12036376E-01  -2.57110205E-01
  9.02229437E-01   8.02640192E-02   9.32723198E-02
  8.88590829E-01   3.56952084E-01   4.17456484E-01
  8.73771113E-01   5.91163023E-01   6.69237436E-01
  8.56672260E-01   7.55081461E-01   8.11608918E-01
  8.35786540E-01   8.20269175E-01   8.23290025E-01
  8.09085048E-01   7.61717892E-01   7.05913455E-01
  7.74417112E-01   5.69931676E-01   4.88277652E-01
  7.31350116E-01   2.72160053E-01   2.19470831E-01
  6.83952747E-01  -5.69554004E-02  -5.14847287E-02
  6.39621878E-01  -3.29335480E-01  -2.89114429E-01
  6.03209352E-01  -4.95734577E-01  -4.66209171E-01
  5.74931313E-01  -5.53909509E-01  -5.62280964E-01
  5.52858251E-01  -5.24498649E-01  -5.69637564E-01
  5.34959564E-01  -4.32342501E-01  -4.94999754E-01
  5.19672572E-01  -2.99751921E-01  -3.56138748E-01
  5.05855021E-01  -1.45604468E-01  -1.77477813E-01
  4.92617197E-01   1.38321112E-02   1.36399278E-02
  4.79164641E-01   1.63803847E-01   1.89928475E-01
  4.64655289E-01   2.90131986E-01   3.26814733E-01
  4.48045856E-01   3.78734370E-01   4.05359953E-01
  4.27919502E-01   4.16098974E-01   4.15769146E-01
  4.02381729E-01   3.91878931E-01   3.61171506E-01
  3.69419262E-01   3.05441336E-01   2.59632922E-01
  3.28561004E-01   1.75361390E-01   1.39778020E-01
  2.83426331E-01   3.98432624E-02   2.82080831E-02
  2.40802584E-01  -6.48451402E-02  -6.04696993E-02
  2.05396074E-01  -1.25895615E-01  -1.21467222E-01
  1.77731595E-01  -1.49739308E-01  -1.54760085E-01
  1.56246545E-01  -1.48151558E-01  -1.63388599E-01
  1.39181974E-01  -1.31311465E-01  -1.52577051E-01
  1.25191677E-01  -1.06603684E-01  -1.28610738E-01
  1.13375578E-01  -7.91725601E-02  -9.78454211E-02
  1.03204110E-01  -5.25997969E-02  -6.59924643E-02
  9.44959498E-02  -2.93443895E-02  -3.75995347E-02
  8.75143162E-02  -1.08990500E-02  -1.56079700E-02
  8.32373520E-02   2.38727867E-03  -8.89012521E-04
  8.37657487E-02   1.19287728E-02   8.24826670E-03
  9.23533211E-02   2.20399691E-02   1.64295575E-02
  1.12004279E-01   4.09509958E-02   3.09881926E-02
  1.42679058E-01   7.85627276E-02   6.00852079E-02
  1.79430345E-01   1.36641925E-01   1.07900895E-01
  2.14898258E-01   1.99645200E-01   1.68175030E-01
  2.44620545E-01   2.43943346E-01   2.23274727E-01
  2.68247393E-01   2.54430894E-01   2.52760794E-01
  2.87227017E-01   2.28195533E-01   2.42860367E-01
  3.03128930E-01   1.69719572E-01   1.89845652E-01
  3.17193898E-01   8.65445525E-02   9.89172709E-02
  3.30370066E-01  -1.27406520E-02  -1.82130290E-02
  3.43447396E-01  -1.19031705E-01  -1.45624856E-01
  3.57191622E-01  -2.22492626E-01  -2.65127544E-01
  3.72476325E-01  -3.11930086E-01  -3.58030673E-01
  3.90432406E-01  -3.73959813E-01  -4.07137978E-01
  4.12606277E-01  -3.92241428E-01  -3.99272613E-01
  4.40990766E-01  -3.47798992E-01  -3.28312391E-01
  4.77435823E-01  -2.23539344E-01  -1.97656537E-01
  5.21620488E-01  -1.82359353E-02  -1.96076040E-02
  5.68670073E-01   2.33440588E-01   1.87593707E-01
  6.11311932E-01   4.64135540E-01   3.96819760E-01
  6.45613285E-01   6.13782307E-01   5.68016675E-01
  6.72049438E-01   6.58601095E-01   6.60281674E-01
  6.92756361E-01   6.04542625E-01   6.49109332E-01
  7.09738201E-01   4.70750608E-01   5.32268355E-01
  7.24483693E-01   2.79692789E-01   3.26445280E-01
  7.38078843E-01   5.36912560E-02   6.14193630E-02
  7.51389897E-01  -1.85463613E-01  -2.25257248E-01
  7.65224062E-01  -4.15640863E-01  -4.92655553E-01
  7.80476848E-01  -6.12961123E-01  -7.00453376E-01
  7.98293248E-01  -7.50306904E-01  -8.13386943E-01
  8.20241927E-01  -7.96411630E-01  -8.06793492E-01
  8.48376222E-01  -7.17637954E-01  -6.73054340E-01
  8.84686730E-01  -4.88029684E-01  -4.26301267E-01
  9.29055538E-01  -1.15034598E-01  -9.93004158E-02
  9.76678911E-01   3.30239251E-01   2.67286519E-01
  1.02007300E+00   7.28625880E-01   6.25464490E-01
  1.05504477E+00   9.83621269E-01   9.12758624E-01
  1.08197499E+00   1.06277130E+00   1.06780255E+00
  1.10301815E+00   9.80889716E-01   1.05535830E+00
  1.12022101E+00   7.71781645E-01   8.74691058E-01
  1.13510656E+00   4.72841026E-01   5.53973290E-01
  1.14878284E+00   1.20123164E-01   1.41051755E-01
  1.16212869E+00  -2.51895521E-01  -3.04889640E-01
  1.17595728E+00  -6.08789100E-01  -7.20183563E-01
  1.19116550E+00  -9.13992159E-01  -1.04287608E+00
  1.20889718E+00  -1.12665400E+00  -1.21963591E+00
  1.23072147E+00  -1.20058183E+00  -1.21431437E+00
  1.25870458E+00  -1.08747692E+00  -1.01779629E+00
  1.29488297E+00  -7.52520025E-01  -6.54945997E-01
  1.33922593E+00  -2.11833261E-01  -1.78993228E-01
  1.38699076E+00   4.27037914E-01   3.46979330E-01
  1.43063665E+00   9.93116220E-01   8.54109220E-01
  1.46586085E+00   1.35346023E+00   1.25750057E+00
  1.49298859E+00   1.46694150E+00   1.47532343E+00
  1.51417051E+00   1.35723681E+00   1.46160726E+00
  1.53146582E+00   1.07281268E+00   1.21711376E+00
  1.54640966E+00   6.65989263E-01   7.81501299E-01
  1.56011836E+00   1.86555072E-01   2.20684147E-01
  1.57347546E+00  -3.18327429E-01  -3.84522032E-01
  1.58729607E+00  -8.01937336E-01  -9.47711572E-01
  1.60247684E+00  -1.21502320E+00  -1.38529878E+00
  1.62015997E+00  -1.50300109E+00  -1.62588487E+00
  1.64191336E+00  -1.60475203E+00  -1.62183525E+00
  1.66980773E+00  -1.45731588E+00  -1.36253824E+00
  1.70590118E+00  -1.01701036E+00  -8.83590726E-01
  1.75020960E+00  -3.08631924E-01  -2.58686039E-01
  1.79802967E+00   5.23836577E-01   4.26672142E-01
  1.84179781E+00   1.25760656E+00   1.08275395E+00
  1.87715270E+00   1.72329919E+00   1.60224252E+00
  1.90438589E+00   1.87111170E+00   1.88284431E+00
  1.92564308E+00   1.73358390E+00   1.86785623E+00
  1.94298884E+00   1.37384372E+00   1.55953646E+00
  1.95796436E+00   8.59137499E-01   1.00902931E+00
  1.97169019E+00   2.52986980E-01   3.00316539E-01
  1.98505229E+00  -3.84759337E-01  -4.64154424E-01
  1.99886661E+00  -9.95085573E-01  -1.17523958E+00
  2.01402940E+00  -1.51605423E+00  -1.72772148E+00
  2.03168154E+00  -1.87934818E+00  -2.03213384E+00
  2.05338971E+00  -2.00892223E+00  -2.02935613E+00
  2.08122659E+00  -1.82715484E+00  -1.70728019E+00
  2.11726271E+00  -1.28150070E+00  -1.11223546E+00
  2.16154269E+00  -4.05430587E-01  -3.38378851E-01
  2.20938988E+00   6.20635240E-01   5.06364954E-01
  2.25322940E+00   1.52209690E+00   1.31139868E+00
  2.28866383E+00   2.09313815E+00   1.94698447E+00
  2.31596243E+00   2.27528190E+00   2.29036519E+00
  2.33726674E+00   2.10993099E+00   2.27410519E+00
  2.35464421E+00   1.67487475E+00   1.90195917E+00
  2.36963956E+00   1.05228574E+00   1.23655732E+00
  2.38337592E+00   3.19418888E-01   3.79948931E-01
  2.39674067E+00  -4.51191245E-01  -5.43786816E-01
  2.41055021E+00  -1.18823381E+00  -1.40276759E+00
  2.42570041E+00  -1.81708527E+00  -2.07014419E+00
  2.44333115E+00  -2.25569527E+00  -2.43838280E+00
  2.46500806E+00  -2.41309243E+00  -2.43687701E+00
  2.49280485E+00  -2.19699380E+00  -2.05202213E+00
  2.52880003E+00  -1.54599105E+00  -1.34088019E+00
  2.57305764E+00  -5.02229250E-01  -4.18071663E-01
  2.62092012E+00   7.17433902E-01   5.86057766E-01
  2.66480617E+00   1.78658724E+00   1.54004341E+00
  2.70029399E+00   2.46297711E+00   2.29172642E+00
  2.72763706E+00   2.67945210E+00   2.69788607E+00
  2.74897363E+00   2.48627808E+00   2.68035416E+00
  2.76637285E+00   1.97590579E+00   2.24438187E+00
  2.78138176E+00   1.24543397E+00   1.46408533E+00
  2.79512521E+00   3.85850796E-01   4.59581323E-01
  2.80849153E+00  -5.17623153E-01  -6.23419208E-01
  2.82229738E+00  -1.38138205E+00  -1.63029560E+00
  2.83743831E+00  -2.11811631E+00  -2.41256689E+00
  2.85505340E+00  -2.63204236E+00  -2.84463177E+00
  2.87670746E+00  -2.81726264E+00  -2.84439789E+00
  2.90447475E+00  -2.56683276E+00  -2.39676408E+00
  2.94043933E+00  -1.81048139E+00  -1.56952492E+00
  2.98467923E+00  -5.99027912E-01  -4.97764475E-01
  3.03255115E+00   8.14232565E-01   6.65750578E-01
  3.07646986E+00   2.05107758E+00   1.76868814E+00
  3.11199594E+00   2.83281608E+00   2.63646837E+00
  3.13937121E+00   3.08362230E+00   3.10540695E+00
  3.16073123E+00   2.86262517E+00   3.08660312E+00
  3.17814627E+00   2.27693683E+00   2.58680457E+00
  3.19316504E+00   1.43858221E+00   1.69161334E+00
  3.20691359E+00   4.52282704E-01   5.39213715E-01
  3.22028092E+00  -5.84055061E-01  -7.03051600E-01
  3.23408385E+00  -1.57453028E+00  -1.85782361E+00
  3.24921768E+00  -2.41914734E+00  -2.75498959E+00
  3.26682084E+00  -3.00838945E+00  -3.25088074E+00
  3.28845747E+00  -3.22143284E+00  -3.25191877E+00
  3.31620216E+00  -2.93667172E+00  -2.74150603E+00
  3.35214303E+00  -2.07497173E+00  -1.79816965E+00
  3.39636867E+00  -6.95826575E-01  -5.77457287E-01
The toroidal mode    3
 Perpend. k-vec  Curvature        Coriolis
  3.74716660E+00  -6.75343045E-01  -5.65187766E-01
  3.65856824E+00  -2.19271493E+00  -1.90436829E+00
  3.58642024E+00  -3.13653513E+00  -2.93192164E+00
  3.53067089E+00  -3.45200619E+00  -3.48818303E+00
  3.48719520E+00  -3.23181043E+00  -3.49551913E+00
  3.45185026E+00  -2.61066501E+00  -2.97605118E+00
  3.42150101E+00  -1.71976361E+00  -2.03193995E+00
  3.39386394E+00  -6.76514003E-01  -8.16823500E-01
  3.36714596E+00   4.12969289E-01   4.89147729E-01
  3.33971623E+00   1.44786747E+00   1.69951940E+00
  3.30980591E+00   2.32624398E+00   2.63968114E+00
  3.27517927E+00   2.94028187E+00   3.16696390E+00
  3.23276164E+00   3.17638512E+00   3.19515939E+00
  3.17843050E+00   2.92882384E+00   2.72184631E+00
  3.10788765E+00   2.14492664E+00   1.84540528E+00
  3.02050617E+00   9.12155025E-01   7.41774348E-01
  2.92493361E+00  -4.81745720E-01  -4.05802142E-01
  2.83626923E+00  -1.66373425E+00  -1.44707883E+00
  2.76397121E+00  -2.39685721E+00  -2.24243775E+00
  2.70806750E+00  -2.64366578E+00  -2.67314127E+00
  2.66446916E+00  -2.47911625E+00  -2.68302120E+00
  2.62904019E+00  -2.00860294E+00  -2.29120578E+00
  2.59864296E+00  -1.33346714E+00  -1.57688393E+00
  2.57099084E+00  -5.43650187E-01  -6.57558716E-01
  2.54429008E+00   2.80105473E-01   3.29882945E-01
