case,rlt,boxsize,time,timestep,Ns,Nvpar,Nmu,dtim,krhomax,Nmod,Nx,ikx,finit,stepsize_all,evo_start,evo_end,sel_start,sel_end,error_index,converge,mode,backup,path
S6,6.0,1x1,6000.0,10000.0,12,16,6,0.02,1.4,21,83,5,cosine2,1000,"[500, 3000, 5000]","[2000, 4000, 5500]",,,,False,0,True,/data/S6_rlt6.0/boxsize1x1/Ns12/Nvpar16/Nmu6
S6,6.0,1x1,12000.0,20000.0,12,32,6,0.02,1.4,21,83,5,cosine2,1000,"[500, 3000, 5000, 6000,  8000, 11000]","[2000, 4000, 5500, 7000, 10000, 12000]",,,,False,0,True,/data/S6_rlt6.0/boxsize1x1/Ns12/Nvpar32/Nmu6
S6,6.0,1x1,6000.0,10000.0,12,48,9,0.02,1.4,21,83,5,cosine2,1000,"[500, 3000, 5000]","[2000, 4000, 5500]",,,,False,0,True,/data/S6_rlt6.0/boxsize1x1/Ns12/Nvpar48/Nmu9
S6,6.0,1x1,6000.0,10000.0,12,64,9,0.02,1.4,21,83,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,,False,0,True,/data/S6_rlt6.0/boxsize1x1/Ns12/Nvpar64/Nmu9
S6,6.0,1x1,12000.0,20000.0,16,16,9,0.02,1.4,21,83,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,,False,0,True,/data/S6_rlt6.0/boxsize1x1/Ns16/Nvpar16/Nmu9
S6,6.0,1x1,12000.0,20000.0,16,32,9,0.02,1.4,21,83,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,,False,0,True,/data/S6_rlt6.0/boxsize1x1/Ns16/Nvpar32/Nmu9
S6,6.0,1x1,6000.0,10000.0,16,48,6,0.02,1.4,21,83,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,,False,0,True,/data/S6_rlt6.0/boxsize1x1/Ns16/Nvpar48/Nmu6
S6,6.0,1x1,6000.0,10000.0,16,48,9,0.02,1.4,21,83,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,,True,1,True,/data/S6_rlt6.0/boxsize1x1/Ns16/Nvpar48/Nmu9
S6,6.0,1x1,7125.0,10000.0,16,48,9,0.025,1.4,21,83,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,,True,1,True,/data/S6_rlt6.0/boxsize1x1/Ns16/Nvpar48/Nmu9/dtim0.025
S6,6.0,1x1,6000.0,10000.0,16,48,9,0.02,0.7,11,83,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,,True,1,True,/data/S6_rlt6.0/boxsize1x1/Ns16/Nvpar48/Nmu9/krhomax0.70/Nmod11
S6,6.0,1x1,6000.0,10000.0,16,48,9,0.02,1.4,21,43,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,,False,0,True,/data/S6_rlt6.0/boxsize1x1/Ns16/Nvpar48/Nmu9/Nx43
S6,6.0,1x1,6000.0,10000.0,16,48,9,0.02,1.4,21,63,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,,False,0,True,/data/S6_rlt6.0/boxsize1x1/Ns16/Nvpar48/Nmu9/Nx63
S6,6.0,1x1,12000.0,20000.0,16,64,6,0.02,1.4,21,83,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,,True,1,True,/data/S6_rlt6.0/boxsize1x1/Ns16/Nvpar64/Nmu6
S6,6.0,1x1,12000.0,20000.0,16,64,9,0.02,1.4,21,83,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,,True,1,True,/data/S6_rlt6.0/boxsize1x1/Ns16/Nvpar64/Nmu9
S6,6.0,1.5x1.5,6000.0,10000.0,16,48,9,0.02,1.4,31,125,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",[7000],[8000],,True,2,False,/data/S6_rlt6.0/boxsize1.5x1.5/Ns16/Nvpar48/Nmu9
S6,6.0,2x1,18000.0,30000.0,16,48,9,0.02,1.4,21,165,10,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,,True,2,True,/data/S6_rlt6.0/boxsize2x1/Ns16/Nvpar48/Nmu9
