rk4                                   28  0.86525E+01   100.00
Calc RHS                             112  0.84643E+01    97.83
Calc Fields                          112  0.17826E+01    20.60
fields - poisson mat multiply        112  0.97219E-01     1.12
fields - MPI allreduce               112  0.14515E+01    16.78
fields - zonal adiabatic             112  0.23012E+00     2.66
fields - n4 renorm diag              112  0.29588E-02     0.03
Copy fdis vector to tmp              112  0.69008E-01     0.80
Collisions conservation              112  0.30994E-04     0.00
Init RHS to zero                     112  0.35837E-01     0.41
MPI radial ghost comms               112  0.62943E-04     0.00
Non linear terms: FFT, No MPI        112  0.54745E+01    63.27
MPI other ghost comms                112  0.48595E-01     0.56
Linear terms matmul, No MPI          112  0.10532E+01    12.17
